step	time	T	T-cg	T-at	Ekin	res	angle_12	angle_12_cross	angle_160	angle_160_cross	angle_166	bond_124_cross	bond_125_cross	bond_71	bond_82	bond_82_cross	coulomb	dihedral_51	dihedral_51_cross	dihedral_83	dihedral_83_cross	lj	lj-14_0	lj-14_0_cross	lj-14_1	lj-14_1_cross	lj-14_2	lj-14_3	lj-14_4	lj-14_4_cross	tab-cg
10500	10.5	3.42095	3.35837	3.42302	8005.03	0.05499	490.144	17.1165	2599.57	59.3083	774.198	35.1876	87.4861	1845.98	877.394	284.583	1.42541	621.51	0.945501	915.211	1.00649	39.4141	62.7007	34.2362	427.357	5.77114	1.42948	9.62226	139.84	1.07783	3.25981
10600	10.6	3.43742	3.35837	3.44004	8043.57	0.05599	518.735	16.7704	2564.83	53.0132	822.145	33.8804	88.28	1954.29	898.696	291.82	1.47664	630.111	1.03019	946.832	1.10735	35.2708	53.9684	13.0603	480.567	4.06801	0.955988	7.5337	142.367	0.0885992	3.59969
10700	10.7	3.59792	3.35837	3.60586	8419.14	0.05699	525.877	14.2943	2629.97	49.0777	875.509	34.3707	89.9367	1795.62	784.934	275.691	1.51953	632.236	1.0131	920.146	1.10443	31.7261	65.2318	25.8371	478.005	2.63233	1.54463	8.64087	135.378	0.0691226	3.69052
10800	10.8	3.54257	3.35837	3.54867	8289.61	0.05799	567.229	16.0785	2643.27	52.6703	964.695	33.728	90.2082	1924.01	968.074	289.452	1.60245	619.367	1.04461	865.765	1.13266	53.8185	61.6648	23.5432	484.686	19.4107	-0.277775	3.78483	137.801	0.091884	4.44533
10900	10.9	3.5244	3.35837	3.5299	8247.1	0.05899	632.463	18.1082	2762.6	57.0345	921.482	31.5843	89.5462	2078.94	956.989	301.255	1.72326	609.576	1.06914	839.523	1.17165	28.6775	52.9182	11.462	463.72	6.25811	1.81225	7.93067	111.23	0.0531429	4.08335
11000	11	3.46608	3.35837	3.46965	8110.62	0.05999	597.667	18.8075	2712.12	59.139	810.396	29.511	87.2881	1976.42	898.915	334.088	1.78377	607.619	1.10115	862.665	1.2486	34.8522	46.2059	15.3304	477.744	12.1466	3.39643	12.8238	138.194	0.135397	4.09941
11100	11.1	3.60177	3.35837	3.60983	8428.14	0.06099	519.185	21.2274	2705.72	58.2908	799.477	30.4625	89.2958	1963.7	842.338	317.366	1.88076	600.97	1.07818	809.269	1.17209	43.2258	45.2124	9.66557	499.501	15.4994	2.03584	7.17714	145.901	0.140272	3.43676
11200	11.2	3.49667	3.35837	3.50125	8182.21	0.06199	532.54	21.2502	2634.32	61.0778	810.001	30.8833	92.7075	1946.71	764.455	270.602	1.92844	595.576	1.17998	794.703	1.33003	37.827	59.0428	9.97436	471.82	4.60212	1.66041	5.0108	128.238	0.0321693	3.60665
11300	11.3	3.39492	3.35837	3.39613	7944.11	0.06299	505.533	20.5191	2499.94	63.8152	919.491	31.8119	94.1953	2117.66	786.733	225.205	1.99072	589.78	1.29667	864.527	1.25527	34.7483	53.4511	12.9962	485.538	3.59029	5.99263	5.84084	115.732	0.651029	3.67747
11400	11.4	3.59056	3.35837	3.59825	8401.91	0.06399	539.39	19.1555	2684.43	67.1517	844.083	31.1271	96.0169	2025.94	827.561	223.007	2.07863	584.219	1.33681	857.281	1.31452	37.6747	51.2639	12.7261	483.215	8.40334	4.48011	3.68568	127.464	0.598605	3.73889
11500	11.5	3.49062	3.35837	3.495	8168.06	0.06499	521.934	19.3838	2508.5	65.0229	790.358	29.9891	94.7219	1917.59	819.875	212.991	2.17379	575.278	1.33294	829.614	1.44852	32.9152	39.9553	17.5343	494.155	7.83317	2.52605	5.17256	133.99	0.00682121	3.7826
