step	time	T	Ekin	res	lj	bond_123	bond_125_cross	bond_123_cross	bond_124_cross	angle_251_cross	angle_252_cross	angle_250_cross	dihedral_190_cross	dihedral_191_cross	lj-14_0_cross	lj-14_1_cross
6700	6.7	3.5484	59879.2	0	6645.61	6800.06	4881.76	0	251.895	0	8942.85	384.806	2366.51	0	0	0
6800	6.8	3.49241	58934.5	0	6643.8	6632.35	4597.59	0	227.759	0	8968.1	353.737	2351.33	0	0	0
6900	6.9	3.56525	60163.6	0	6473.16	6526.41	4824.56	0	208.472	0	8906.84	374.19	2306.73	0	0	0
7000	7	3.52237	59440	0	6642.01	6574.11	5044.39	0	221.743	0	9131.36	371.241	2292.05	0	0	0
7100	7.1	3.53468	59647.7	0	6532.89	6886.33	4847.03	0	183.021	0	9070.78	407.074	2357.5	0	0	0
7200	7.2	3.48524	58813.5	0	6559.77	6598.23	4826.29	0	202.711	0	9100.42	411.091	2327.97	0	0	0
7300	7.3	3.56322	60129.4	0	6701.15	6512.58	4943.14	0	196.335	0	9036.64	404.039	2317.28	0	0	0
7400	7.4	3.59364	60642.7	0	6703.62	6680.09	4836.49	0	184.792	0	9250.6	381.325	2349.79	0	0	0
7500	7.5	3.54851	59881	0	6596.13	6658.23	5096.49	0	182.983	0	9160.16	393.906	2330.02	0	0	0
7600	7.6	3.54929	59894.3	0	6597	6648.73	4975.16	0	203.842	0	9114.26	360.11	2319.98	0	0	0
7700	7.7	3.58123	60433.3	0	6677.26	6852.93	5108.74	0	166.603	0	9151.64	359.25	2310.04	0	0	0
7800	7.8	3.55843	60048.5	0	6587.13	6791.7	5103.72	0	185.269	0	9104.2	411.741	2345.35	0	0	0
7900	7.9	3.57941	60402.5	0	6655.17	6842.25	5058.62	0	223.336	0	8997.57	399.136	2340.15	0	0	0
8000	8	3.61783	61050.9	0	6890.55	6710.82	5216.76	0	219.839	0	8956.99	371.709	2321.33	0	0	0
8100	8.1	3.56774	60205.7	0	6726.74	6858.16	4943.62	0	281.073	0	9006.07	356.186	2356.04	0	0	0
8200	8.2	3.58638	60520.2	0	6621.4	6820.36	4973.92	0	220.025	0	9059.92	375.155	2341.95	0	0	0
8300	8.3	3.62233	61126.8	0	6669.04	6738.33	5032.21	0	247.93	0	9020.04	348.272	2311.03	0	0	0
8400	8.4	3.61844	61061.2	0	6776.63	6673.99	4953.56	0	212.804	0	8885.05	381.049	2308.25	0	0	0
8500	8.5	3.57396	60310.5	0	6854.85	6763.5	4750.64	0	221.903	0	8993.77	370.946	2252.48	0	0	0
8600	8.6	3.59064	60592	0	6753.16	6613.05	4733.02	0	193.029	0	9004.57	372.242	2311.23	0	0	0
8700	8.7	3.55455	59983.1	0	6717.02	6825.26	4934.05	0	224.953	0	9010.83	405.706	2325.68	0	0	0
8800	8.8	3.54511	59823.8	0	6668.64	6984.7	4790.69	0	209.861	0	9100.04	394.506	2381.7	0	0	0
8900	8.9	3.61748	61044.9	0	6498.99	6912.67	4893.42	0	195.486	0	8905.8	381.383	2323.06	0	0	0
9000	9	3.54817	59875.4	0	6513.06	6696.42	4883.34	0	203.945	0	8964.77	381.701	2319.57	0	0	0
9100	9.1	3.54422	59808.6	0	6643.06	6546.87	4820	0	185.987	0	9081.85	362.046	2325.09	0	0	0
9200	9.2	3.49252	58936.3	0	6684.45	6852.56	4813.69	0	251.951	0	9096.26	377.826	2297.92	0	0	0
9300	9.3	3.51506	59316.6	0	6373.97	6942.46	4842.38	0	236.726	0	8974.05	396.835	2316.78	0	0	0
9400	9.4	3.49455	58970.6	0	6629.32	6779.13	5014.46	0	201.151	0	8925.26	414.67	2335.72	0	0	0
9500	9.5	3.55901	60058.3	0	6665.97	6584.17	4909.38	0	210.635	0	8811.26	402.274	2329.98	0	0	0
9600	9.6	3.54638	59845.2	0	6783.65	6599.11	5029.3	0	207.254	0	8892.5	374.743	2296.88	0	0	0
9700	9.7	3.53326	59623.8	0	6642.65	6719.22	4832.6	0	273.212	0	8831.56	380.944	2336.73	0	0	0
9800	9.8	3.53303	59619.9	0	6581.14	6981.58	4857.1	0	210.582	0	8890.54	384.466	2295.26	0	0	0
9900	9.9	3.51911	59385.1	0	6801.02	6771.67	4548.26	0	272.958	0	8897.08	404.143	2353.58	0	0	0
10000	10	3.55431	59979	0	6804.25	6649.97	4822.71	0	204.957	0	8913.58	386.956	2307.72	0	0	0
10100	10.1	3.53922	59724.4	0	6746.29	6578.45	4876.83	0	214.306	0	9003.28	360.188	2351.12	0	0	0
10200	10.2	3.54743	59862.9	0	6668.84	6707.59	4835.54	0	196.601	0	9012.71	394.594	2363.5	0	0	0
10300	10.3	3.5656	60169.5	0	6736.97	6628.23	4749.79	0	189.428	0	9125.18	361.603	2348.19	0	0	0
10400	10.4	3.52285	59448	0	6717.97	6484.51	4967.84	0	183.234	0	9116.36	371.524	2396.03	0	0	0
10500	10.5	3.59812	60718.3	0	6427.73	6578.4	4842.01	0	198.043	0	8927	393.601	2315.8	0	0	0
