step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
110000	110	3.49545	39323.8	-37324.5	14387.6	17679.6	77169.6	424.926	17681.7
111000	111	3.55797	40027.1	-37393.4	13923.5	17597.1	77498.5	380.771	17676.5
112000	112	3.55183	39958	-37162.9	14262.4	17568.1	76877.8	434.509	17523
113000	113	3.51174	39507.1	-37079.2	13961.6	17064.5	77072.8	380.437	18281.1
114000	114	3.5102	39489.8	-37181.9	14256.9	17845.6	76470.1	520.885	17978
115000	115	3.58925	40379.1	-37161	13814.5	17140.9	76752.7	490.464	18144.5
116000	116	3.49088	39272.4	-37120.4	13677.6	18112.8	76493	370.395	17928.8
117000	117	3.51664	39562.2	-37275.9	14473.4	17474.9	77181.6	423.434	17816.3
118000	118	3.51431	39536	-37003.5	14549.4	17709.1	76866.7	451.746	17478.7
119000	119	3.51405	39533.1	-37017.4	14003.3	17127.4	77261.9	389.869	18081.9
120000	120	3.5506	39944.2	-37173	14109.8	17830.9	76745.2	420.444	17829.7
121000	121	3.56622	40120	-37120	13832.2	17543.9	76385.7	396.304	17995.8
122000	122	3.50868	39472.6	-37310.5	14400.7	17830	75985.2	407.337	18318.6
123000	123	3.54448	39875.4	-37241.3	14341.8	17371.2	77046.2	395.875	17804.7
124000	124	3.52589	39666.3	-37306.6	14143.4	17540.5	77476.1	433.796	17560.9
125000	125	3.49993	39374.2	-37201	14042.4	17349	77415.1	447.256	17698.1
126000	126	3.59387	40431.1	-37405.6	14207.8	17492.8	77262.6	379.85	17348.7
127000	127	3.51594	39554.3	-37425.3	14164.8	17127.9	77654.1	362.61	17392.5
128000	128	3.50085	39384.6	-37354.2	13956.6	17227.4	77037	418.101	17906.9
129000	129	3.48482	39204.2	-37331	14469.3	17928.3	77093.1	340.484	17403.1
130000	130	3.47989	39148.7	-37291.2	14179	17730.6	76958.5	371.204	17617.3
131000	131	3.504	39420	-37410.2	13929.9	17946.2	77051.5	501.388	17437.3
