step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
185000	185	2.46551	22189.6	-30754.5	6761.29	6221.81	7062.17	-761.802	-2291.8
186000	186	2.48806	22392.5	-30612.2	6846.19	6357.25	7015.78	-812.247	-2199.15
187000	187	2.47015	22231.4	-30607.2	6746.09	6332.15	7020.79	-834.523	-2205.88
188000	188	2.44288	21985.9	-30718.6	7002.66	6622.62	7021.78	-826.883	-2210.09
189000	189	2.4642	22177.8	-30789.8	6921.23	6315.27	7078.17	-854.508	-2162.24
190000	190	2.47293	22256.3	-30466.4	6820.06	6320.89	7147.98	-777.532	-2095.91
191000	191	2.47495	22274.5	-30521.9	6758.02	6513.97	7155.33	-773.301	-2247.58
192000	192	2.46672	22200.4	-30580	6900.33	6429.07	7200.96	-781.525	-2120
193000	193	2.46322	22169	-30712.9	6711.26	6415.86	6936.82	-797.883	-2169.62
194000	194	2.47015	22231.3	-30624.3	6678.69	6203.92	6998.31	-808.036	-2125.48
195000	195	2.44113	21970.2	-30743.9	6888.86	6566.93	7209.04	-804.966	-2127.53
196000	196	2.46687	22201.8	-30590.7	6702.9	6404.66	7228.69	-869.52	-2152.3
197000	197	2.48176	22335.9	-30664	6875.2	6586.13	7093.69	-843.076	-2132.54
198000	198	2.45458	22091.2	-30768.3	7122.75	6231.85	7182.27	-833.587	-2173.89
199000	199	2.48428	22358.5	-30805.9	6840.25	6444.76	7198.21	-853.424	-2181.17
200000	200	2.45542	22098.8	-30637.1	6776.54	6206.01	6992.32	-795.86	-2125.98
201000	201	2.50311	22528	-30659	6745.37	6318.83	6668.89	-851.663	-2135.31
202000	202	2.48912	22402.1	-30636.4	6941.94	6235.6	6751.63	-790.22	-2040.11
203000	203	2.46516	22186.5	-30637.3	6682.16	6499.73	7340.12	-826.137	-2235.89
204000	204	2.44875	22038.8	-30648.9	6919.39	6400.72	7172.6	-805.882	-2190.55
205000	205	2.49267	22434.1	-30684.4	6813.11	6331.94	7032.89	-828.002	-2218.3
206000	206	2.47329	22259.6	-30691.3	6577.49	6458.94	7048.13	-906.123	-2149.83
207000	207	2.45442	22089.8	-30678.1	6671.15	6249.84	7048.73	-753.051	-2122.17
208000	208	2.48083	22327.5	-30720.3	7046.69	6477.76	7094.98	-868.867	-2179.27
209000	209	2.49931	22493.8	-30631.5	6977.43	6339.04	6855.52	-827.989	-2212.17
210000	210	2.44845	22036	-30708.1	6837.38	6254.74	7091.59	-795.366	-2246.19
211000	211	2.48238	22341.5	-30677.2	6875.65	6435.89	7076.59	-830.111	-2125.71
212000	212	2.46258	22163.2	-30562.6	6938	6360.29	7169.05	-823.15	-2199.96
213000	213	2.47407	22266.6	-30494.6	6714.43	6392.02	7014.41	-858.091	-2145.16
214000	214	2.51366	22622.9	-30680.1	6895.58	6319.29	7027.63	-850.79	-2198.85
215000	215	2.449	22041	-30686.8	6977.46	6341.26	7115.31	-825.47	-2166.78
216000	216	2.46239	22161.5	-30695.8	6767.29	6366.62	7203.9	-889.413	-2185.63
217000	217	2.4746	22271.4	-30616.1	6993.08	6482.74	6865.45	-854.589	-2257.94
218000	218	2.45267	22074	-30557.6	6711.17	6454.96	7134.73	-855.77	-2242.21
219000	219	2.49048	22414.3	-30566.9	6862.94	6308.18	6994.17	-822.101	-2164.16
220000	220	2.45648	22108.3	-30757.5	6876.25	6361.35	7133.17	-819.623	-2170.51
221000	221	2.45459	22091.3	-30701.3	6982.28	6591.72	7152.3	-857.987	-2262.71
