step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
13500	13.5	2.48445	33540.1	0	-733.914	3916.83	4629.81	0	0	5033.08	4926.32	1450.05	0	0	0
13600	13.6	2.50371	33800.1	0	-637.686	3729.36	4614.67	0	0	4982.35	4889.94	1442.83	0	0	0
13700	13.7	2.49839	33728.3	0	-746.297	3680.89	4607.97	0	0	5064.45	4944.3	1466.06	0	0	0
13800	13.8	2.48497	33547.1	0	-872.849	3658.79	4528.88	0	0	5054.34	4854.48	1456.35	0	0	0
13900	13.9	2.4786	33461.1	0	-864.785	3735.82	4596.05	0	0	5020.26	4932.07	1474.73	0	0	0
14000	14	2.47395	33398.3	0	-837.039	3697.2	4414.13	0	0	5010.78	4872.51	1433.33	0	0	0
14100	14.1	2.48009	33481.3	0	-709.236	3554.57	4378.41	0	0	5065.79	4871.78	1403.98	0	0	0
14200	14.2	2.5025	33783.8	0	-668.533	3503.4	4366.05	0	0	5078.12	5033.19	1443.86	0	0	0
14300	14.3	2.47353	33392.6	0	-777.96	3747.2	4413.37	0	0	5076.45	5034.03	1428.12	0	0	0
14400	14.4	2.47958	33474.3	0	-705.378	3660.49	4515.39	0	0	5079.46	4998.8	1453.72	0	0	0
14500	14.5	2.4932	33658.3	0	-692.559	3610.62	4591.9	0	0	5165.03	5039.58	1441.09	0	0	0
14600	14.6	2.51595	33965.3	0	-684.031	3642.23	4625.27	0	0	5093.25	5106.88	1444.25	0	0	0
14700	14.7	2.49926	33740	0	-631.394	3686.02	4619.77	0	0	5094.23	5016.15	1455.02	0	0	0
14800	14.8	2.50604	33831.5	0	-696.333	3808.42	4685.62	0	0	4996.61	5074.16	1462.2	0	0	0
14900	14.9	2.49995	33749.3	0	-638.779	3697.56	4664.16	0	0	5026.05	5200.92	1486.77	0	0	0
15000	15	2.50782	33855.6	0	-746.242	3621.54	4658.56	0	0	5010	5018.97	1466.3	0	0	0
15100	15.1	2.48506	33548.4	0	-712.723	3779.04	4537.96	0	0	4910.8	4958.2	1467.24	0	0	0
15200	15.2	2.48721	33577.4	0	-667.836	3682.46	4434.72	0	0	5018.48	4991.8	1467.48	0	0	0
15300	15.3	2.46192	33235.9	0	-843.895	3716.67	4558.21	0	0	4949.44	4995.17	1456.5	0	0	0
15400	15.4	2.46814	33319.8	0	-681.09	3820.42	4565.6	0	0	5099.25	4999	1504.87	0	0	0
15500	15.5	2.4998	33747.3	0	-705.142	3832.93	4535.05	0	0	5065.97	4925.24	1474.74	0	0	0
15600	15.6	2.50946	33877.7	0	-653.747	3846.37	4578.93	0	0	5064.9	4967.47	1437.12	0	0	0
15700	15.7	2.51691	33978.3	0	-796.885	3685.49	4751.62	0	0	5033.05	4898.68	1461.35	0	0	0
15800	15.8	2.5074	33850	0	-733.746	3530.53	4611.51	0	0	5056.43	4852.94	1455.39	0	0	0
15900	15.9	2.53412	34210.6	0	-722.84	3564.06	4475.88	0	0	5001.98	4968.51	1452.91	0	0	0
16000	16	2.51985	34018	0	-622.457	3770.07	4613.26	0	0	4957.86	4957.11	1445.55	0	0	0
