step	time	T	Ekin	res	lj	bond_2	bond_3_cross	bond_2_cross	angle_5_cross	angle_6_cross	angle_4_cross	dihedral_0_cross	dihedral_1_cross	lj-14_0_cross	lj-14_1_cross
8300	8.3	2.4555	33149.2	0	-709.892	3721.22	4431.07	0	0	5037.9	5025.29	1480.36	0	0	0
8400	8.4	2.47065	33353.8	0	-636.597	3826.29	4405.63	0	0	4958.26	5043.42	1467.43	0	0	0
8500	8.5	2.4587	33192.4	0	-642.053	3753.02	4524.42	0	0	5114.12	4918.4	1454.28	0	0	0
8600	8.6	2.46908	33332.5	0	-746.744	3682.44	4453.27	0	0	5017.01	5044.23	1460.89	0	0	0
8700	8.7	2.46801	33318.1	0	-858.12	3899.23	4494.54	0	0	5101.14	4990.45	1481.16	0	0	0
8800	8.8	2.46176	33233.8	0	-764.083	3886.62	4450.36	0	0	5122.5	5032.18	1435.64	0	0	0
8900	8.9	2.43083	32816.2	0	-931.171	3789	4548.06	0	0	5053.82	5087.41	1433.68	0	0	0
9000	9	2.44092	32952.5	0	-933.099	3758.47	4468.12	0	0	5001.76	5059.48	1440.32	0	0	0
9100	9.1	2.48246	33513.2	0	-758.751	3798.41	4508.15	0	0	5001.56	4955.34	1450.79	0	0	0
9200	9.2	2.50529	33821.4	0	-727.26	3832.99	4412.09	0	0	5091.24	5071.39	1456.1	0	0	0
9300	9.3	2.52839	34133.3	0	-627.188	3803.69	4479.25	0	0	4978.66	5035.99	1458.5	0	0	0
9400	9.4	2.4851	33548.8	0	-678.633	3786.81	4371.16	0	0	5066.25	4957.62	1451.21	0	0	0
9500	9.5	2.50609	33832.2	0	-656.018	3733.01	4398.45	0	0	5014.36	4964.96	1461.64	0	0	0
9600	9.6	2.49219	33644.6	0	-658.137	3789.79	4343.28	0	0	4909.26	5000.1	1427.17	0	0	0
9700	9.7	2.51199	33911.8	0	-663.671	3925.59	4603.46	0	0	5133.16	5052.97	1454.41	0	0	0
9800	9.8	2.50126	33767	0	-808.472	3842.86	4557.2	0	0	5080.58	5064.21	1463.3	0	0	0
9900	9.9	2.47891	33465.3	0	-686.434	3575.54	4526.34	0	0	5074	5148.07	1453.6	0	0	0
10000	10	2.50476	33814.2	0	-729.327	3736.51	4473.95	0	0	5058.74	5023.22	1464.47	0	0	0
10100	10.1	2.51709	33980.8	0	-736.282	3567.76	4596.86	0	0	4974.76	5115.01	1461.41	0	0	0
10200	10.2	2.51174	33908.5	0	-551.453	3698.92	4559.79	0	0	4939.99	5116.3	1470.85	0	0	0
10300	10.3	2.46601	33291.2	0	-583.901	3739.09	4591.97	0	0	4986.49	5147.45	1455.51	0	0	0
10400	10.4	2.46614	33292.9	0	-588.1	3738.46	4527.83	0	0	4903.7	5137.62	1437.43	0	0	0
10500	10.5	2.48297	33520.2	0	-653.699	3782.84	4421.2	0	0	4979.36	5126.62	1470.55	0	0	0
10600	10.6	2.52613	34102.8	0	-709.479	3812.65	4479.89	0	0	4991.63	5162.41	1480.2	0	0	0
10700	10.7	2.51711	33981	0	-757.562	3775.31	4388.98	0	0	4934.88	5132.49	1482.23	0	0	0
10800	10.8	2.48335	33525.2	0	-747.918	3685.58	4585.68	0	0	4858.48	5088.46	1480.1	0	0	0
10900	10.9	2.50184	33774.9	0	-791.454	3717.84	4491.62	0	0	4941.52	4971.73	1489.7	0	0	0
11000	11	2.52311	34061.9	0	-830.703	3812.93	4557.68	0	0	4942.93	5012.06	1511.33	0	0	0
11100	11.1	2.52003	34020.4	0	-646.575	3784.96	4448.52	0	0	4971.4	4914.6	1484.73	0	0	0
11200	11.2	2.46635	33295.7	0	-563.895	3861.35	4455.65	0	0	4941.8	4918.73	1445.17	0	0	0
11300	11.3	2.47776	33449.7	0	-707.839	3780.29	4394.01	0	0	4903.37	4973.12	1485.07	0	0	0
11400	11.4	2.45705	33170.2	0	-741.432	3707.01	4436.49	0	0	4920.65	5009.68	1472.19	0	0	0
11500	11.5	2.51382	33936.6	0	-594.001	3757.06	4418.73	0	0	5004.28	4955.43	1465.15	0	0	0
11600	11.6	2.51903	34006.9	0	-749.321	3714.43	4457.95	0	0	5007.85	5036.71	1420.93	0	0	0
11700	11.7	2.51979	34017.1	0	-818.976	3576.79	4539.29	0	0	5025.88	4928.69	1458.55	0	0	0
11800	11.8	2.49839	33728.2	0	-740.229	3403.49	4482.22	0	0	4999.26	5090.29	1474.06	0	0	0
11900	11.9	2.46411	33265.5	0	-618.417	3381.14	4519.28	0	0	5058.01	4995.77	1477.78	0	0	0
12000	12	2.50443	33809.9	0	-654.31	3512.09	4709.31	0	0	4994.39	4951.26	1467.89	0	0	0
12100	12.1	2.4816	33501.6	0	-585.89	3649.03	4580.04	0	0	5049.72	4979.36	1455.63	0	0	0
12200	12.2	2.4883	33592	0	-572.557	3747.91	4673.07	0	0	5066.46	4852.84	1438.47	0	0	0
12300	12.3	2.48459	33541.9	0	-597.291	3679.97	4566.79	0	0	5116.97	4975.7	1469.64	0	0	0
12400	12.4	2.48942	33607.2	0	-712.523	3704.14	4597.02	0	0	5088.87	5027.09	1483.28	0	0	0
12500	12.5	2.46791	33316.7	0	-814.902	3816.67	4459.83	0	0	5090.41	5001.68	1482.91	0	0	0
12600	12.6	2.46921	33334.3	0	-655.854	3823.89	4453.64	0	0	5085.93	5007.54	1502.93	0	0	0
12700	12.7	2.49211	33643.4	0	-779.064	3606.36	4508.07	0	0	4999.55	4944.43	1462.99	0	0	0
12800	12.8	2.50817	33860.3	0	-777.234	3669.18	4522.25	0	0	5032.67	4869.07	1440.22	0	0	0
12900	12.9	2.51037	33890.1	0	-689.853	3621.33	4323.29	0	0	5053.93	4970.17	1473.3	0	0	0
13000	13	2.49243	33647.7	0	-692.929	3630.44	4370.09	0	0	5054.13	4978.15	1464.71	0	0	0
13100	13.1	2.51707	33980.5	0	-807.249	3774.1	4527.01	0	0	5098.7	4863.7	1462.53	0	0	0
13200	13.2	2.52063	34028.6	0	-547.984	3665.48	4459.1	0	0	4968.78	4965.57	1450.61	0	0	0
13300	13.3	2.52191	34045.8	0	-659.526	3795.45	4629.64	0	0	4897.5	4924	1451.19	0	0	0
13400	13.4	2.5048	33814.8	0	-762.039	3902.76	4519.74	0	0	5015.77	4957.84	1461.61	0	0	0
13500	13.5	2.49054	33622.3	0	-748.195	3828.17	4561.58	0	0	4916.45	4991.75	1457.96	0	0	0
13600	13.6	2.46035	33214.7	0	-782.662	3870.22	4529.43	0	0	4947.96	4953.01	1435.48	0	0	0
13700	13.7	2.48249	33513.6	0	-735.211	3801.71	4575.93	0	0	5045.26	5035.03	1448.47	0	0	0
13800	13.8	2.47733	33443.9	0	-660.546	3890.14	4482.44	0	0	5078.81	5022.46	1452.38	0	0	0
13900	13.9	2.5276	34122.7	0	-599.601	3955.21	4455.42	0	0	4926.95	5027.03	1443.07	0	0	0
14000	14	2.50179	33774.2	0	-543.031	3834.77	4353.36	0	0	5032.26	5069.17	1471.74	0	0	0
14100	14.1	2.54089	34302.1	0	-648.167	3796.47	4351.72	0	0	4940.12	5163.13	1452.06	0	0	0
14200	14.2	2.46726	33307.9	0	-659.621	3840.02	4622.42	0	0	5020.35	5106.65	1482.33	0	0	0
14300	14.3	2.49657	33703.8	0	-663.659	3745.62	4595.24	0	0	5028.11	5059.22	1469.01	0	0	0
14400	14.4	2.54419	34346.6	0	-559.439	3594.69	4701.21	0	0	4990.37	5154.87	1467.89	0	0	0
14500	14.5	2.53883	34274.2	0	-603.838	3657.42	4387.84	0	0	5111	5049.37	1455.8	0	0	0
14600	14.6	2.49605	33696.7	0	-570.299	3681.95	4515.85	0	0	5062.53	5013.55	1456.74	0	0	0
14700	14.7	2.50013	33751.8	0	-594.206	3721.43	4681.33	0	0	5019.57	4969.06	1459.12	0	0	0
14800	14.8	2.47685	33437.5	0	-598.364	3678.44	4582.68	0	0	5110.61	5013.27	1486.79	0	0	0
14900	14.9	2.45614	33157.9	0	-806.695	3806.09	4490.03	0	0	5135.02	4979.87	1480.05	0	0	0
15000	15	2.49103	33629	0	-867.983	3793.52	4713.36	0	0	5145.25	5047.01	1463.5	0	0	0
15100	15.1	2.50428	33807.7	0	-785.953	3870.03	4552.77	0	0	5080.66	5052.3	1479.99	0	0	0
15200	15.2	2.50468	33813.2	0	-865.196	3768.06	4651.39	0	0	5135.52	4950.07	1479.19	0	0	0
15300	15.3	2.48227	33510.6	0	-926.054	3850.02	4488.88	0	0	5104.13	5011.03	1509.43	0	0	0
15400	15.4	2.46716	33306.6	0	-932.366	3898.16	4394.62	0	0	5106.74	4935.56	1466.2	0	0	0
