step	time	T	Ekin	lj	bond_2	angle_4	dihedral_0	lj-14_0	lj-14_1
219000	219	2.49814	22483.2	-30636.7	6661.97	6525.99	6886.31	-821.876	-2233.81
220000	220	2.49905	22491.4	-30649	6973.42	6402.52	6956.56	-813.16	-2198.29
221000	221	2.44813	22033.2	-30497.6	6767.72	6321.88	7293.06	-849.678	-2228.04
222000	222	2.44423	21998.1	-30567.1	6813.62	6504.08	7043.07	-804.692	-2286.45
223000	223	2.49197	22427.7	-30662.8	6751.93	6494.98	6921.35	-838.5	-2225.9
224000	224	2.45772	22119.5	-30830.9	6739.75	6549.36	7233.3	-716.491	-2281.92
225000	225	2.44843	22035.9	-30698.7	6894.78	6537.49	7261.48	-794.189	-2204.49
226000	226	2.47724	22295.1	-30672	7010.79	6566.84	7333.94	-769.404	-2131.12
227000	227	2.46997	22229.7	-30779.6	6827.13	6369.2	7129.59	-771.845	-2220.66
228000	228	2.46525	22187.2	-30534.2	6724.44	6564.59	7120.77	-841.48	-2177.47
229000	229	2.4748	22273.2	-30705.7	6799.76	6310.38	7157.11	-805.759	-2056.42
230000	230	2.51922	22672.9	-30712.7	6820.36	6395.61	7166.75	-835.109	-2137.07
231000	231	2.43953	21955.7	-30513.2	6888.39	6423.35	6880.42	-854.674	-2187.51
232000	232	2.49997	22499.7	-30511.7	7093.9	6423.25	7238.47	-788.895	-2170.61
233000	233	2.48967	22407	-30710.1	6910.05	6623.91	7083.63	-808.393	-2175.16
234000	234	2.44516	22006.4	-30680.1	6648.14	6424.41	7022.87	-794.726	-2162.16
235000	235	2.5035	22531.5	-30526.1	6573.75	6360.3	7040.66	-772.443	-2099.27
236000	236	2.5038	22534.2	-30628	6995.95	6232.33	7140.12	-830.715	-2121.27
237000	237	2.50058	22505.2	-30563.7	6688.02	6294.2	6854.19	-785.449	-2090.45
238000	238	2.49507	22455.6	-30517.7	6848.89	6435.32	7110.89	-755.58	-2130.07
239000	239	2.52489	22724	-30554.1	6888.48	6393.84	7535.46	-773.039	-2148.63
240000	240	2.47159	22244.4	-30530.5	6747.84	6263.18	7247.59	-779.929	-2155.82
241000	241	2.47232	22250.9	-30687.8	6838.66	6343.61	7205.74	-834.214	-2200.93
