step	time	T	Ekin	lj	bond_124	angle_252	dihedral_190	lj-14_0	lj-14_1	P
134000	134	3.60731	40582.2	-35861	14141.4	17753.8	77395.2	358.369	17448.1	-5.96586
135000	135	3.5501	39938.6	-35731.2	14332.8	17149.9	77329.8	437.729	17559.7	-19.3704
136000	136	3.61669	40687.8	-35744.8	13540.6	17492.2	77430.5	444.108	17672.8	23.8625
137000	137	3.50651	39448.2	-35797.1	14174.6	17775.4	76943.5	376.761	17867.6	1.64887
138000	138	3.46037	38929.2	-35884.9	14067.9	17773.7	76957.6	512.853	17646.2	5.3718
139000	139	3.5427	39855.4	-35741.2	14260.6	17338.3	77323.6	424.305	17846.5	-12.3945
140000	140	3.58554	40337.3	-35937.1	13853.7	17214.2	77431.1	414.529	17438.8	9.70073
141000	141	3.51412	39533.8	-35721.6	14028.1	17740.7	77748.2	425.346	17500.4	15.5641
142000	142	3.47707	39117	-35691.1	14037	17044.8	77695.7	407.429	17819.1	30.7254
143000	143	3.55287	39969.8	-35873.9	14530.2	17532.6	78094.9	456.163	16739	-30.1041
144000	144	3.53453	39763.5	-36011.7	14060.5	17201.4	77890.5	369.254	17411.3	8.24796
145000	145	3.54037	39829.1	-35995.2	13946.4	17452.2	77854.4	353.299	17665.5	-3.04014
146000	146	3.48635	39221.5	-35955.4	14270.2	17060.7	78181.7	384.556	17476.2	-0.454473
147000	147	3.46272	38955.6	-35841.2	14055.7	17438	78043.9	347.954	17395.9	-9.5166
148000	148	3.51624	39557.7	-36004.5	14104.1	17047	78330.3	416.93	17326.2	-5.62823
149000	149	3.53234	39738.8	-35887.3	14080	17005.8	78514.1	387.617	17245.4	25.367
150000	150	3.56333	40087.4	-35964.4	14246.6	16910.2	78342.6	463.299	17167.6	-0.221899
151000	151	3.54698	39903.5	-36013.2	14032.3	17370.7	78271.6	437.864	17224.7	35.1314
152000	152	3.50029	39378.2	-35824.3	14079.9	17544.6	77744.8	398.075	17544.2	-19.5932
153000	153	3.48528	39209.4	-35714.3	13998.7	17481.4	77669.3	453.834	17478.5	-7.82474
154000	154	3.4963	39333.4	-35851.2	14347	17526.9	77014.3	449.078	18189	34.4411
155000	155	3.4828	39181.5	-35875.4	14226	17386.1	77785.2	415.969	17442.4	1.36337
156000	156	3.47429	39085.8	-36043.2	14098.5	16967.4	77606.3	393.903	17814.1	21.4259
157000	157	3.52632	39671.1	-35736.7	14075.8	17441	77463.6	381.14	17452.6	-18.6313
158000	158	3.52876	39698.6	-35868	13805.8	17527	77449.9	407.344	17532.1	1.41616
159000	159	3.53118	39725.7	-35781.4	14194.1	17704.7	77795.1	402.507	17349.2	-16.1712
160000	160	3.50863	39472.1	-36126.5	14233.2	17183	77255.7	449.129	17620.5	-5.88686
161000	161	3.55134	39952.6	-36058.5	13802.4	17504.5	77490.1	473.234	17807.4	28.4247
162000	162	3.60276	40531	-36064.3	14133.4	16849	78118.2	402.8	17537.9	-0.324057
163000	163	3.53132	39727.3	-35918.7	14177.9	17710.9	78260.2	408.999	17029.5	5.70063
164000	164	3.54652	39898.4	-35811.1	14327.7	17335	77850.9	423.477	17503.8	10.2976
165000	165	3.53259	39741.7	-35931.4	14245.3	17218.3	77913.8	369.428	17603	11.9553
166000	166	3.52826	39692.9	-35991.8	14169.5	17535.5	78005.6	446.301	17095	-42.8286
167000	167	3.4947	39315.3	-36010.5	14394.9	17377.2	78433.8	369.313	17038.9	-55.1782
168000	168	3.5421	39848.6	-35972.6	13873	17372.8	77869.8	442.403	17540.9	-14.3187
169000	169	3.57942	40268.4	-35962.3	13956.2	17453.9	77629.9	417.226	17269.1	-9.55513
170000	170	3.49187	39283.5	-35952.9	14237.1	17406	78080.6	465.635	17519.4	-14.111
171000	171	3.59272	40418.1	-35734.7	14026.8	17347.7	77962.9	383.241	17424.4	12.1244
172000	172	3.52642	39672.2	-36210.4	14037.1	17526.1	78129.6	397.702	17306.5	-4.49603
173000	173	3.55637	40009.1	-35814.2	14222.5	17785.8	77835.1	411.995	17158.6	-8.67015
174000	174	3.47519	39095.9	-36141.6	14238	17321.7	77247.5	397.528	17739.4	13.2685
175000	175	3.56514	40107.8	-35993.5	13663.3	17266.7	77644.3	421.65	17644.8	1.70883
176000	176	3.5192	39591	-36025.5	13995.6	17748.9	77352.3	392.977	17679.3	44.6462
177000	177	3.52025	39602.8	-35692.5	14510.2	16953.1	77784.4	426.675	17516.8	-11.1977
178000	178	3.47457	39088.9	-35561.9	14078.9	17570.7	77975.9	413.716	17578	-7.30785
179000	179	3.5066	39449.2	-35866.3	14030.5	17435.2	77813.7	458.769	17559.9	19.3352
180000	180	3.42142	38490.9	-35934.8	14306.4	17678.7	77881.7	424.998	17605.5	16.1644
181000	181	3.55671	40013	-35922.9	14082	17850.5	77710.9	376.867	17759.9	13.0412
182000	182	3.53012	39713.9	-35777.2	14435.6	17642.2	77367.8	379.653	17770.4	-17.5693
183000	183	3.50503	39431.6	-36024.4	14111.1	17088	78202.4	345.523	17784.1	34.8617
184000	184	3.55377	39979.9	-36230.8	14414.4	17237.2	77826.4	371.861	17337.1	-43.0121
185000	185	3.51371	39529.2	-35967.9	13885.3	17642.1	77535.5	392.641	17561.2	9.82929
186000	186	3.48523	39208.9	-36159.2	14402	17383	77310.5	446.849	17634.4	7.44438
187000	187	3.51302	39521.5	-35928.1	13861.3	17195.5	77202.7	420.25	17702.2	-14.2763
188000	188	3.50584	39440.7	-35901.1	14372.6	17404.8	77477.7	398.468	17441.9	-11.6603
189000	189	3.51385	39530.8	-35866.3	14387.6	17279.7	77253.7	461.308	17794.2	18.6109
190000	190	3.47186	39058.4	-35638.2	13844.4	17498.5	76873.6	339.433	17803.9	3.04098
191000	191	3.54199	39847.3	-35913	13986.2	17543.2	76978.7	406.545	17719.1	12.1921
192000	192	3.48482	39204.3	-36001.9	14180.6	17622.1	77529	403.614	17454.2	-10.1658
193000	193	3.52205	39623.1	-35659.8	13755.5	17837	76833.3	475.087	17587.2	-1.69497
194000	194	3.53608	39780.9	-35851.4	13843	17552.1	77483.1	367.613	17602.5	36.3855
195000	195	3.54256	39853.8	-35837.6	14040.4	17417.4	77488.5	439.109	17717.8	32.7783
196000	196	3.58672	40350.6	-35764.9	14260.4	17500.3	77263	391.383	17839.3	15.4752
197000	197	3.48493	39205.4	-36166.5	13734.4	17369.8	77576.8	348.75	17687	9.8288
198000	198	3.53006	39713.2	-35988.2	14242.3	17625.1	77195.4	409.624	17754	-9.32116
199000	199	3.555	39993.7	-35843.3	14069	17354.5	77526.5	411.618	17645.5	-13.7551
200000	200	3.50057	39381.4	-35800.9	14296.2	17174.2	77448.8	382.536	17775.2	-26.3032
201000	201	3.54258	39854	-35835	14026.3	17326.1	77236.8	392.994	17674.3	-42.9137
202000	202	3.48599	39217.4	-35936.1	14142.3	17178.7	77399.3	396.075	17596.5	-25.5253
203000	203	3.54254	39853.6	-35783.6	13851.2	16975.6	77153	410.465	17791.4	-10.8344
204000	204	3.59797	40477.1	-36093.6	13934.3	17247	77360.8	347.745	17588.9	24.6307
205000	205	3.50434	39423.8	-35884.9	14038	17328	77295.2	449.857	17547.4	2.60202
206000	206	3.49955	39370	-35797.9	14003.1	17362	76764.4	418.827	17888	-2.78089
207000	207	3.53755	39797.5	-35690.9	14192.4	17528	77118.5	384.354	17765.2	18.0762
208000	208	3.49827	39355.5	-35715.6	14005	17071.4	77031.1	428.783	17853.8	18.1587
209000	209	3.47117	39050.6	-36065.1	14470.6	16946.5	76980.4	407.479	18030.7	-9.90591
210000	210	3.51929	39592	-35893	13940	17609.9	76618.5	465.506	18092.6	5.19377
211000	211	3.48083	39159.3	-36005.6	14051.4	17280	77625	390.431	17614.8	-6.01226
212000	212	3.51776	39574.8	-35814.8	13964.8	17667.2	76905.8	318.474	17944.9	-15.3241
213000	213	3.54451	39875.7	-36095.5	14326.8	17694.5	77665.7	406.081	17159.2	-29.4283
214000	214	3.51435	39536.5	-35722.7	14197.7	17452.1	77220.9	419.799	17429.7	-42.2901
215000	215	3.52937	39705.4	-36075.5	13919.6	17618	77313.4	405.709	17518.4	13.9971
216000	216	3.48062	39156.9	-35964.2	14522.3	17373	77101.8	283.549	17879.3	2.8284
217000	217	3.50922	39478.7	-35832	14307	17893.6	77033.2	380.731	17775.2	-3.7339
218000	218	3.51933	39592.5	-35607.3	14790.9	17659.7	77381.4	370.909	17363.5	1.17798
219000	219	3.50801	39465.1	-36130.8	13898.3	17165.8	77537.7	423.954	17448.6	29.5315
220000	220	3.5378	39800.2	-35774.2	14233	16829.3	77363.4	371.999	17486.8	-19.3503
221000	221	3.49374	39304.6	-35685.9	14040.7	17137.9	77675.2	404.864	17668.7	6.92251
222000	222	3.48418	39197	-36032.7	13825.2	17424.4	77806.7	356.411	17533.4	13.189
223000	223	3.50633	39446.2	-35992.7	14002	17677.6	77560.4	476.705	17664.5	12.7019
224000	224	3.53955	39820	-35950.1	14189.6	17265.9	77912.3	358.184	17472.4	14.8824
225000	225	3.42438	38524.3	-35926.1	14024.8	17004	77809.6	425.024	17758.1	19.5532
226000	226	3.5386	39809.3	-35670.1	14361.4	17598.9	77204	456.139	18083.6	35.2594
227000	227	3.56089	40060	-35958.4	14135.6	17557.6	77247.1	442.55	17220.4	-35.5084
228000	228	3.52132	39614.9	-36018	14225	17609.8	77409.1	412.192	17378	-2.63316
229000	229	3.48287	39182.3	-35997	14479.7	17534.6	77502.6	353.513	17660.4	-10.1407
230000	230	3.5495	39931.8	-35782.4	14327.8	17468.6	77405.3	388.434	17437.5	2.41825
231000	231	3.49868	39360.1	-35946	14061.8	17500.5	77085.2	373.508	18102.6	-5.88866
232000	232	3.4785	39133.2	-36022.5	14640.9	17475.8	77717	419.088	17402.8	-55.4872
233000	233	3.46363	38965.8	-36181.8	14129.3	17081.2	77499.1	434.595	17625.4	-19.0973
234000	234	3.54143	39841.1	-35890.7	13720.5	17916.4	77207	436.503	17375	-29.0354
235000	235	3.48585	39215.8	-35950.3	14349.7	17568.7	77131	458.959	17586	-6.4511
236000	236	3.58103	40286.6	-35941.1	14514.2	17195.5	77434	394.082	17797.3	-19.2522
237000	237	3.49733	39344.9	-36035.9	14001.6	17480.5	77784.3	434.306	17536	14.9942
238000	238	3.52146	39616.4	-36075.9	14250.6	17072.4	78155.7	366.826	17359.6	-29.8075
239000	239	3.52958	39707.8	-36106.4	13965.1	17993	77455.4	446.375	17374.1	10.7878
240000	240	3.53353	39752.3	-36049.6	14159.6	17218.6	77791	431.052	17935.2	27.9736
241000	241	3.54535	39885.2	-36048.3	13935.3	17621	77767.3	393.232	17459	3.62605
242000	242	3.51212	39511.3	-35939.8	14507	17368.5	77475.7	346.794	17862.2	11.0375
243000	243	3.48284	39181.9	-35832.3	14277.3	17718.2	77733.1	409.219	17273.3	-11.9669
244000	244	3.4684	39019.5	-35947.4	13954.8	17272.2	77654.3	384.675	17406.3	23.1417
245000	245	3.5391	39814.9	-35946	14515.3	17502.5	77522	428.247	17837.8	2.24876
246000	246	3.50983	39485.6	-35605.4	14256.2	17844.3	77195.7	478.229	17645.3	-9.37758
247000	247	3.53213	39736.5	-35786.3	14244.6	17189.7	77723.5	427.655	17476.8	-22.411
248000	248	3.4404	38704.5	-35902.3	13951.6	17527.4	77227	394.213	17627.1	-15.7972
249000	249	3.44491	38755.3	-35773.1	14267.4	16617.1	77831.8	442.618	17669.8	21.8313
250000	250	3.52279	39631.4	-35931.6	14244.8	17274	77568.1	482.366	17670.8	-41.1362
251000	251	3.42014	38476.6	-35826.4	13798.4	17314.9	77249.1	429.09	17669.1	5.10793
252000	252	3.49464	39314.7	-36045.1	14237.8	17213.5	77304.4	412.024	17793.8	-8.87637
253000	253	3.49722	39343.7	-35713.3	13972.4	17150.6	77446	386.218	17961.6	29.1009
254000	254	3.53679	39788.9	-35856.7	14459.2	17154.1	78193.7	365.082	17277.8	7.30427
255000	255	3.52459	39651.7	-36046.5	13897.4	17432.2	77726.3	379.982	17950.6	-9.69339
256000	256	3.53011	39713.7	-35766	13916.6	17966.4	76678.2	436.182	17789.8	13.5158
257000	257	3.51686	39564.7	-35598	14151.9	17696.7	76330.2	394.593	18072.7	14.0139
258000	258	3.52208	39623.4	-35982.1	14387.6	17569.5	77109.1	397.804	17785.6	1.50148
259000	259	3.55977	40047.4	-35922.5	13949.1	17595.6	77202.4	346.872	17937.1	-7.86744
260000	260	3.54053	39831	-36045.3	14228.9	17635.6	77501	418.149	17892.8	5.72948
261000	261	3.5623	40075.9	-35939.8	14047.6	16906.2	77619	533.162	17710.1	-7.94053
262000	262	3.53178	39732.6	-35789.6	13790	17155.3	77523.3	324.675	17599.4	-7.31605
263000	263	3.53319	39748.4	-35800.6	14077.9	17163.1	78199.4	411.498	17660.9	4.18926
264000	264	3.5122	39512.2	-35969.8	14085	17047.8	77909.4	404.83	17535.6	28.7063
265000	265	3.49244	39290	-36067.9	14387.7	17242	77764.6	457.028	17487.2	-14.6353
266000	266	3.45734	38895	-35985.4	14128.1	17096	77958.4	411.432	17372.4	5.13711
267000	267	3.49378	39305	-35722.2	13923	17137.2	77575.1	360.902	17707.8	-7.21346
268000	268	3.50272	39405.6	-35931.7	14025.3	17774.7	77275	364.993	17398.7	-32.5537
269000	269	3.49286	39294.7	-35903.4	14153.3	17507.1	77669.2	427.77	17329.5	-30.2081
270000	270	3.48845	39245.1	-36007.1	13790.9	17483.4	77780.7	371.827	17529.4	40.1278
271000	271	3.55479	39991.4	-35713.6	14288.8	17548.5	77335.6	421.594	17967.7	-8.01742
272000	272	3.54539	39885.6	-35840.4	14196.1	16897.6	77510.4	401.54	17552.1	-7.52159
273000	273	3.44196	38722.1	-35579.6	14395.2	17325.8	77297.3	403.731	17781.3	38.7015
274000	274	3.50666	39449.9	-35847.3	14012.1	17423.8	77881.9	361.959	17264.4	-32.7577
275000	275	3.53927	39816.8	-35630.6	14122.7	17056.9	78252.9	426.068	17270.5	-13.7766
276000	276	3.48749	39234.3	-36037.8	13765	17364.9	77303.8	475.724	17709.7	14.7519
277000	277	3.47623	39107.5	-35858.2	14105.6	17225	77861.4	447.054	17255.2	-10.1018
278000	278	3.52109	39612.3	-35756.8	14005.3	17616.2	77399.8	392.342	17522.5	13.8542
279000	279	3.47361	39078.1	-36030.9	13833.4	17333.1	77671.6	480.087	17574.7	8.54229
280000	280	3.49861	39359.3	-36033.4	14430.7	17509.8	76592.5	416.68	17957.2	-34.8674
281000	281	3.52078	39608.8	-36000.6	14275.8	17654.5	77085.5	398.375	17498.4	7.17668
