step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
103000	103	2.47499	100237	1566.16	960.85	1492.5	862.343	665.338	633.474	3579.92	747.424	877.867	4278.17	1162.7	1090.75	874.559	1750.42	4348.7	799.989	883.313	1098.09	4077.4	1036.36	1131.73	839.589	2326.91	760.004	3804.92	1055.29	1193.8	1502.4	1315.02	1008.29	1108.75	1103.48	1256.22	1370.6	1059.04	1025.98	1077.07	1876.41	1227.86	1170.86	1104.53	1101.82	16968.4	3402.06	10801.1	6327.27	4798.45	8120.15	3597.47	1844.22	5201.19	673368	-786.467	3208.62	5410.47	4826.39	9067.56	8346.87	5320.96	59914	-73940	26319.3	5623.24	-1166.08	132.977	365.985
103500	103.5	2.498	101169	1522.68	1008.17	1549.35	856.819	675.363	615.553	3621.86	759.777	903.195	4449.51	1199.29	1149.41	869.006	1726.11	4304.2	794.298	876.557	1035.54	4026.69	1073.51	1173.32	909.182	2585.54	765.423	3636.49	1094.48	1122.69	1508.45	1385.32	1057.15	1074.58	1122.14	1297.37	1389.66	1085.93	1080.24	1113.9	1752.28	1326.66	1094	1131.95	1076.4	16438.5	3269.14	11027.3	6337.42	4791.41	7860.64	3505.2	1956.63	5465.19	673470	-944.3	3152.23	5436.87	4834.99	8943.79	8790.19	5277.36	59915.7	-74568.8	26503.9	5573.46	-1165.53	116.078	358.608
104000	104	2.47727	100329	1401.5	1019.08	1447.74	851.836	645.656	553.377	3651.99	790.405	855.941	4330.09	1258.13	1143.9	890.739	1737.71	4513.4	737.494	866.685	1117.21	3938.37	979.263	1052.67	812.613	2483.23	753.502	3776.26	1046.71	1105.63	1560.39	1334.1	1138.01	1022.26	1105.38	1371.81	1439.47	1109.09	1042.76	1115.28	1860.78	1318.05	1202.26	1106.07	1213.12	16461.7	3630.25	10816	6312.79	4740.78	8044.66	3550.87	1997.06	5582.75	672339	-921.976	3153.44	5434.3	4719.75	8907.92	8556.85	5256.72	59907.5	-73558.4	26255.3	5633.13	-1165.21	102.244	357.326
104500	104.5	2.45271	99334.9	1570.04	1036.09	1445.45	858.11	639.003	582.215	3636.48	757.708	898.15	4334.43	1213.89	1099.16	814.697	1713.23	4408	844.76	907.409	1134.72	4085.12	1042.6	1109.41	839.428	2552.36	779.177	3634.61	1162.31	1073.22	1570.69	1420.64	1057.33	1033.44	1139.8	1293.98	1320.07	1104.97	1001.67	1087.69	1805.25	1235.99	1072.6	1142.46	1154.12	16198.6	3361.87	11102.5	6520.4	4911.27	8061.09	3401.61	1918.81	5244.25	673113	-1001.81	3162.45	5406.14	4793.36	9231.17	8622.61	5306.95	59945.9	-74058.3	26488.7	5542.08	-1165.81	103.233	362.995
105000	105	2.47876	100390	1588.49	953.854	1432.64	881.654	644.033	577.301	3483.18	773.844	830.677	4534.87	1242.54	1033.22	827.921	1696.34	4457	885.92	903.57	1080.23	3772.07	976.963	1109.73	942.474	2422.67	774.436	3716.16	1143.92	1178.23	1540.29	1394.6	1061.73	1178	1042.08	1203.96	1439.86	1034.13	1039.61	1014.82	1674.35	1229.2	1087.99	1056.59	1070.73	16737	3236.37	11094.7	6290.43	4725.95	8108.31	3646.96	2072.29	5774.98	673163	-912.122	3104.88	5486.19	4849.35	8911.2	8311.21	5268.71	59777.5	-74187.3	26321.7	5647.74	-1168	129.682	384.85
105500	105.5	2.46633	99886.4	1503.25	995.911	1462.29	856.411	638.252	618.5	3527.35	760.822	876.831	4255.26	1253.85	1110.14	875.386	1683.74	4448.02	795.322	857.764	986.65	4072.8	1090.91	1179.8	892.725	2441.95	767.067	3662.08	1119.55	1171.91	1526.48	1300.72	1038.74	1048.16	1167.33	1262.5	1284.34	1089.03	999.954	1076.12	1775	1251.31	1102.44	1130.93	1090.58	16636.7	3506.99	11373.7	6464.94	4899.99	8095.93	3826.48	2083.22	5389.68	672840	-870.456	3134.77	5450.4	5046.25	8945.61	8420.51	5262.15	59939.6	-74245.7	26346.8	5524.47	-1167.31	103.552	362.33
106000	106	2.46745	99931.8	1542.07	1057.63	1410.59	876.59	654.684	591.497	3595.4	787.152	860.216	4446.59	1269.06	1097.07	845.118	1757.57	4279.46	842.524	901.205	1117.45	4038.59	1009.44	1082.49	921.887	2388.04	811.779	3850.83	1137	1156.65	1506.67	1334.03	1092.57	1110.56	1165.91	1298.38	1252	993.28	1105.07	1134.28	1800.81	1252.91	1087.34	1128.69	1114.4	16053.2	3352.14	10730.1	5997.08	5103.47	8002.68	3453.18	2269.14	5385.94	673664	-1012.61	3181.01	5465.88	5013.79	9003.91	8259.01	5288.82	59815.2	-74399.4	26460.9	5630.46	-1164	103.973	377.855
106500	106.5	2.48245	100539	1469.24	906.12	1492.52	909.944	665.313	591.608	3692.37	745.593	904.996	4276.21	1206.44	1095.47	878.242	1707.77	4360	739.758	850.535	1073.53	3916.83	1163.91	1098.87	851.814	2490.22	777.494	3536.13	1023.47	1008.99	1466.83	1198.58	1111.48	1019.22	1110.42	1342.77	1422.94	1064.63	1023.88	1132.9	1751.52	1268.21	1034.15	1038.63	1089.89	16402.6	3532.61	10847.4	6176.78	4818.05	8066.26	3624.36	1912.85	5309.9	673564	-934.839	3186.36	5432.34	4636.05	8819.4	8366.54	5345.79	59831.5	-74059.6	26347.5	5593.47	-1166.49	119.627	380.186
107000	107	2.46917	100001	1531.44	1069.49	1477.32	916.663	647.01	604.601	3787.05	855.024	852.89	4422.91	1156.46	1096.49	929.323	1756.25	4334.06	855.126	927.136	1113.17	3860.21	1020.05	1118.61	850.892	2479.24	799.772	3736.32	1097	1163.17	1505.27	1186.93	1102.04	1118.51	1137.62	1274.77	1233.52	1005.29	1069.09	1151.05	1773.79	1363.74	1074.84	1125.69	1110.58	16497.2	3569.75	10922	6334.09	4863.06	7973.78	3565.08	2054.25	5353.92	673052	-1015.09	3111.84	5432.93	4840.61	8979.33	8193.33	5263.15	59910	-73929.4	26362.5	5649.88	-1167.99	112.109	365.121
107500	107.5	2.47468	100224	1446.27	930.442	1345.31	880	663.989	526.442	3543.77	787.023	939.622	4375.64	1260.25	1093.81	905.087	1775.53	4433.85	803.014	890.677	1126.04	3919.68	1070.49	1096.05	837.87	2502.9	737.66	3765.87	1055.76	1105.73	1471.97	1277.02	1015.95	1072.67	1117.23	1290.42	1332.84	1051.99	1037.26	1094.96	1784.82	1246.98	1125.78	1069.38	1044.52	16663.2	3369.59	10945.6	6149.11	5058.55	8001.47	3523.87	2052.17	5251.65	673025	-1203.22	3108.18	5421.35	4946.86	9188.22	8143.23	5324.31	59860.9	-74119.5	26366.6	5574.84	-1163.77	107.643	358.87
108000	108	2.47596	100276	1589.37	1005.38	1363.15	796.634	646.663	567.487	3803.79	792.172	816.254	4555.71	1216.5	1043.97	938.454	1801.38	4428.18	746.329	937.385	1140.75	4167.43	1019	1102.53	911.473	2420.98	682.365	3871.6	1099.4	1052.82	1528.05	1267.86	1092.72	1080.73	1100.74	1240.48	1255.95	1093.12	968.593	1087.74	1739.25	1260.42	1253.07	1074.24	1221.34	17007.6	3207.13	11045.9	6356.85	4915.39	7986	3460.52	1987.74	5632.66	672183	-1035.52	3114.07	5470.12	4794.48	8998.94	8286.86	5313.09	59913.4	-73812.8	26288	5590.96	-1166.44	87.5017	360.007
108500	108.5	2.46729	99925.4	1562.15	1011.65	1375.95	842.586	605.324	574.927	3805.81	745.6	848.1	4444.16	1215.34	1079.58	833.629	1688.68	4403.82	776.265	881.548	1031.73	4103.15	1105.35	1103.76	826.66	2493.64	758.161	3672.33	1018.41	1114.85	1632.84	1361.82	1045.12	1163.51	1050.65	1248.85	1312.96	998.402	1047.28	1191.55	1883.9	1377.03	1105.43	1057.72	1053.47	15957.7	3400.83	11082.4	6293.77	4841.58	7859.71	3466.75	2000.57	5450.86	672701	-1102.59	3080.58	5441.28	4854.21	9145.33	8475.61	5287.88	59939.9	-74070.2	26656.9	5595.97	-1160.32	94.2627	369.369
109000	109	2.48202	100522	1484.28	991.489	1493.06	878.498	676.455	577.98	3631.95	825.098	904.633	4433.94	1239.71	1143.33	954.581	1757.15	4262.47	861.473	896.462	1121.51	4097.61	966.63	1059.09	869.046	2442.77	771.519	3898.49	1050.95	1145.76	1591.42	1342.26	1109.55	1058.28	1082.89	1332.49	1364.67	1048.39	990.429	1172.67	1854.1	1275.11	1188.95	1081.02	1110.44	16257.9	3354.89	10783.6	6202.33	4935.25	8049.04	3572.12	2018.07	5218.25	672737	-1127.75	3135.43	5467.47	4806.47	9059.91	8234.96	5330.23	59921.5	-73661.4	26463.8	5616.86	-1164.28	102.044	371.159
109500	109.5	2.48218	100528	1493.58	974.054	1447.55	982.879	669.383	592.257	3757.55	853.27	901.56	4442.45	1108.76	1169.97	844.77	1881.44	4179.58	858.55	923.596	1097.21	4147.85	1143.21	1114.86	821.218	2518.31	769.025	3747.66	1070.33	1125.62	1533.72	1372.13	1099.17	1056.05	1177.81	1258.27	1238.47	1107.7	959.774	1097.89	1804.01	1245.43	1101.05	1037.48	1040.79	16304.3	3467.3	10838	6342.18	4965.15	8180.05	3628.1	1993.76	5490.87	672210	-938.076	3080.71	5471.66	4911.75	9176.96	8306.48	5280.94	59838.1	-73725.2	26430.6	5590.52	-1167.43	99.4641	389.463
110000	110	2.46829	99965.6	1555.36	998.81	1515.24	879.298	664.903	614.82	3599.65	789.231	876.88	4429.55	1247.83	1037.44	905.052	1762.5	4347.52	807.83	888.422	1112.62	3788.38	1223.26	1100.15	878.659	2401.38	757.075	3857.79	1088.63	1052.51	1578.72	1269.95	990.787	1098.05	1137.29	1338	1288.01	1057.02	1059.86	1113.79	1805.7	1375.99	1132.26	999.487	1200.47	16416.1	3542.24	11266.1	6398.38	4899.25	8213.82	3593.46	2007.36	5597.34	671535	-996.002	3113.02	5500.08	4873.66	9124.32	8432.4	5274.67	59871.7	-73642.8	26331.1	5530.42	-1168.27	113.507	377.146
110500	110.5	2.48134	100494	1534.07	1068.85	1488.58	851.737	702.382	571.019	3585.05	765.756	910.325	4634.22	1256.63	1221.8	845.82	1853.67	4267.77	826.051	934.756	1097.89	3995.79	1023.59	1169.91	898.781	2424.83	754.947	3785.89	993.041	1106.1	1496.63	1264.07	1131.9	1091.81	1112.06	1321.49	1347.84	1097.02	1024.17	1145.64	1917.46	1270.73	1139.35	1117.34	1173.32	16539.5	3625.97	11160.7	6285.06	4799.37	8073.58	3596.62	2017.57	5442.82	672339	-935.28	3095.16	5501.34	4859.26	9007.64	8465.87	5242.43	59866.5	-74517.7	26382.4	5547.96	-1166.58	113.434	376.043
111000	111	2.48595	100681	1546.47	904.557	1521.43	919.783	666.041	609.292	3580.23	820.594	883.417	4342.34	1265.58	1162.44	851.008	1791.78	4387.55	852.394	893.516	1100.15	3999.82	1059.71	1121.19	874.857	2376.25	756.442	3721.86	1046.74	1071.37	1550.98	1253.04	1091.83	1105.22	1089.68	1234.13	1273.34	1074.88	1014.28	1145.56	1763.39	1273.48	1149.89	1109.45	1203.72	16434.7	3530.8	11405.6	6414.96	5041.85	8068.57	3532.12	1978.65	5644.43	671961	-978.773	3027.59	5460.51	4870.7	9090.61	8502.92	5286.04	59869.5	-74246.1	26395.5	5595.65	-1169.46	115.891	389.421
111500	111.5	2.46848	99973.3	1459.55	957.866	1474.55	923.882	701.39	566.198	3513.88	758.081	838.027	4457.59	1259.1	1081.15	920.718	1768.42	4405.92	900.436	853.797	1042.67	4057.42	1137.96	1152.33	781.884	2582.88	722.987	3446.58	1135.1	1164.41	1421.54	1226.98	1010.36	1061.15	1096.73	1370.86	1370.27	1106.57	994.264	1124.44	1945.85	1222.33	1078.72	1105.56	1196.33	17009.9	3353.55	11257.9	6106.05	4833.18	8242.97	3385.6	1979.83	5542.25	671920	-915.568	3071.39	5456.71	4852.54	8811.33	8404.01	5283.27	59885.6	-73906	26272.5	5659.79	-1168.42	105.627	381.897
112000	112	2.46517	99839.6	1435.67	1007.81	1453.93	905.348	644.235	589.056	3606.22	810.577	946.622	4331.36	1222.18	1126.65	849.029	1698.09	4359.7	790.546	843.864	1040.01	4194.06	1110.57	1111.82	815.149	2382.18	709.04	3707.63	1082.71	1070.02	1421.94	1233.83	1132.34	1081.38	1120.49	1283.67	1300.16	1062.34	1059.33	1170.73	1858.7	1200.51	1077.48	1156.15	1174.76	16318.5	3415.14	10987.9	6593.65	4992.61	8029.4	3726.63	1879.93	5329.87	671203	-925.536	3099.09	5488.59	4867.38	9086.2	8403.56	5258.56	59859.5	-73738.3	26335.8	5580.72	-1165.75	87.9937	359.76
112500	112.5	2.47715	100324	1501.22	961.281	1473.09	951.251	647.826	593.021	3804.05	753.492	839.648	4295.9	1129.67	1022.76	846.717	1685.23	4382.07	832.035	855.137	1081.82	4008.35	1087.13	1080.2	866.493	2391.36	806.486	3503.4	1083.33	1138.76	1491.05	1238.8	1077.69	1108.4	1104.97	1278.99	1402.23	1082.09	1036.6	1066.4	1816.61	1258.41	1209.69	1071.67	1036.67	16998.4	3360.42	10849.1	6194.67	4660.81	8033.88	3767.47	2052.59	5460.46	671678	-929.266	3073.56	5434.48	4940.5	9237.64	8670.42	5209.47	59881.7	-73681.9	26309.4	5586.8	-1166.28	103.37	366.659
113000	113	2.46782	99946.7	1527.13	1042.35	1468.56	844.373	679.185	611.357	3634.7	751.358	925.35	4338.74	1202.49	1108.7	850.751	1724.58	4398.77	895.859	861.352	1135.98	3870.25	1077.38	1047.1	840.112	2591.67	765.337	3648.23	1067.78	1127.1	1516.75	1211.54	1088.49	1122.51	1255.62	1290.42	1308.33	1077.09	988.796	1064.19	1867.15	1294.42	1097.07	1167.37	1069.1	16929.2	3472.47	10783.8	6524.58	4938.33	8086.09	3449.16	1855.75	5408.45	672045	-1041.2	3145	5446.23	4775.14	8866.71	8250.86	5326.78	59844	-73674.9	26266.6	5549.2	-1166.09	113.719	365.045
113500	113.5	2.46721	99922.2	1455.25	1050.64	1459.92	901.86	669.438	553.66	3564.7	734.841	908.06	4591.73	1210.35	1097.2	928.667	1780.45	4424.88	847.672	860.319	1027.88	3830.6	974.573	1076.11	823.874	2411.56	808.379	3609.18	1108.11	1235.65	1428.66	1286.05	1025.62	1201.32	1205.17	1250.49	1297.47	1113.74	1095.79	1107.3	1737.77	1290.87	1115.81	1163.13	1099.67	16760.9	3352.48	11207	6100.19	5189.4	7982.34	3300.7	2032.63	5548.74	671760	-853.077	3116.65	5499.37	4832.29	9049.29	8167.89	5272.21	59858.4	-73537.3	26297.3	5663.57	-1168.39	115.202	384.611
114000	114	2.46966	100021	1574.76	1008.15	1442.66	894.796	655.734	565.402	3564.72	752.426	816.527	4190.6	1184.52	1008.35	860.916	1775.67	4412.84	919.514	943.35	1094.56	4142.72	1104.36	1061.76	834.768	2379.96	778.569	3810	1081.12	1088.96	1516.66	1299.86	1045.87	1118.18	1078.92	1330.16	1329.58	1045.95	1125.72	1104.27	1663.88	1260.11	1169.4	1037.79	1181.81	16530.9	3453.31	10849.2	6163.9	4894.71	7970.7	3513.69	2121.04	5416.02	671741	-1039.79	3114.02	5498.91	4768.02	9000.75	8229.24	5241.36	59897.1	-73810.9	26306.7	5690.29	-1168.72	99.4633	380.602
114500	114.5	2.48739	100739	1541.94	1021.22	1463.59	938.596	665.258	582.513	3665.06	740.58	861.618	4077.03	1182.06	1213.22	925.007	1791.76	4390.27	798.294	916.086	1131.13	4065.22	1081.24	1105.14	833.108	2498.38	789.936	3669.23	1082.09	1085.24	1534.77	1358.92	1016.97	1122.6	1055	1303.86	1420.35	1109.06	1064.83	1138.83	1827.5	1251.82	1135.64	1076.54	1191.85	16104.3	3264.37	11056.7	6274.32	4777.14	7880.77	3537.21	2054.19	5615.93	671910	-850.144	3033.66	5497.26	4989.98	9059.1	8198.75	5234.47	59875.2	-74244.2	26518.8	5686.06	-1166.09	114.723	389.048
115000	115	2.47636	100292	1531.08	953.346	1517.72	905.048	658.937	599.789	3578.14	760.777	853.259	4552.12	1154.26	1140.6	887.763	1695.69	4300.26	837.584	886.155	1102.71	3894.72	1082.1	1113.81	834.965	2397.13	761.489	3652.29	982.235	1141.78	1461.13	1234.6	1099.77	1085.88	1087.16	1240.77	1349.89	1083.72	1036.29	1169.47	1865.65	1360.61	1047.73	1119.41	1101.49	15942.5	3441.18	11104.6	6167.76	5126.68	7937.83	3566.98	2038.41	5245.02	672547	-765.945	3068.94	5436.64	4657.06	8975.69	8651.6	5290.08	59933	-73742.9	26493.6	5533.51	-1165.63	117.287	367.589
115500	115.5	2.46106	99672.8	1518.78	1003.11	1419.13	882.644	637.244	583.358	3571.41	784.189	882.582	4466.02	1208.3	1092	889.988	1731.74	4499.25	874.743	923.75	1096.3	4026.92	1004.99	1049.85	852.299	2442.01	745.397	3639.32	1023.54	1120.78	1457.34	1357.85	1147.72	1110.21	1101.88	1288.31	1276.54	1071.55	1066.69	1066.33	1904.75	1288.47	996.04	1123.74	1082.48	16072.8	3445.25	10734.7	6334.99	4809.75	7773.38	3483.54	1871.53	5451.37	672189	-890.833	3092.46	5459.53	4823.78	9218.18	8606.13	5215.7	59856.1	-74070.2	26471.4	5621.39	-1163.1	94.1918	367.773
116000	116	2.46113	99675.8	1460.12	972.52	1486.39	868.737	686.493	564.331	3579.88	756.43	875.883	4342.15	1276.88	1098.32	864.634	1808.71	4393.14	863.862	898.507	1130.92	4136.69	1023.44	1184.39	876.996	2465.6	752.835	3700.31	1094.24	1095.85	1549.7	1243.85	1105.98	1095.09	1059.17	1353.17	1329.33	1074.75	1042.46	1094.21	1718.71	1291.49	1045.44	1127.54	1221.25	16661.3	3495.66	10994	6324.71	4891.43	7909.83	3702.15	1868.34	5513.29	670904	-918.888	3019.03	5436.1	4872.06	9133.19	8637.77	5289.92	59855.2	-73270.6	26256	5593.78	-1167.56	92.2015	396.2
116500	116.5	2.47244	100134	1518.66	1056.67	1383.73	898.922	659.604	581.087	3646.03	768.263	871.057	4514.07	1249.6	1121.24	845.496	1715.13	4488.31	851.397	894.829	1047.58	4028.83	1061.61	1088.64	834.523	2489.91	788.897	3670.57	1085.71	1029.13	1541.54	1285.1	988.848	1019.28	1034.58	1308.57	1357.33	1131.78	1059.39	1110.87	1855.73	1321.8	1098.81	1104.3	1071.12	16593.2	3445.12	11006.3	6017.19	4817.9	7885.22	3514.15	1976.1	5516.85	671585	-813.174	3078.42	5546.71	5006.11	9068.2	8336.74	5201.28	59822.8	-73421.4	26385	5727.35	-1165.01	86.9495	388.136
117000	117	2.46022	99638.8	1480.02	1004.25	1473.43	871.486	658.133	587.341	3682.86	744.279	859.568	4375.6	1239.83	1018.72	831.173	1755.62	4476.38	821.765	896.875	1143.54	4010.01	1054.97	1127.55	858.665	2513.37	745.612	3621.1	996.917	1072.48	1497.53	1298.56	1024.67	1075.88	1122.85	1378.65	1394.12	1002.39	975.78	1162.18	1879.61	1357.6	1110.68	1117.77	1098.26	16514.1	3654.47	11109.1	6208.9	4641.7	8108.82	3464.41	2064.96	5556.22	671596	-607.146	3082.39	5482.06	4644.69	9073.85	8525.52	5271.71	59790.6	-73736.6	26351.5	5605.94	-1166.81	97.9663	370.72
117500	117.5	2.49444	101025	1492.66	1045.52	1436.97	967.967	604.764	603.778	3813.9	835.434	865.517	4417.82	1223.13	1057.08	866.318	1678.89	4523.65	809.524	870.211	1088.14	4287.54	977.843	1151.39	819.097	2269.43	726.067	3581.95	1023.45	1108.34	1478.08	1288.77	1005	1124.14	1101.69	1174.58	1297.24	1067.24	1040.51	1169.32	1890.22	1395.44	1115.1	1057.27	1056.32	16281.8	3489.98	11280.5	6122.86	4903.88	7800.66	3332.74	2053.87	5274.7	671633	-736.818	3016.02	5510.16	4843.54	9201.07	8321.53	5235.87	59870.8	-73248.8	26368.2	5683.03	-1165.1	77.5854	390.277
118000	118	2.4752	100246	1443.84	1040.48	1551.04	967.841	649.386	566.846	3739.39	708.759	916.401	4347.49	1132.6	961.939	886.575	1729.2	4414.24	846.731	912.297	1034.69	3991.72	1052.79	1107.49	838.074	2488.64	761.021	3725.15	1067.03	1191.17	1423.37	1366.29	1083.62	1081.11	1197.93	1324.52	1378.14	1012.55	1024.38	1130.55	1912.05	1338.35	1064.93	1167.85	1219.04	16143.1	3839.44	10589.8	6385.68	4981.49	8100.75	3424.73	2018.77	5641.75	672100	-823.022	3022.07	5518.6	4707.49	9189.46	8555.2	5232.06	59868.8	-73829.3	26400.1	5645.17	-1163.16	109.043	384.831
118500	118.5	2.46995	100033	1477.13	972.424	1471.52	803.909	674.553	594.411	3519.23	783.429	963.646	4552.23	1260.4	1085.6	801.132	1722.96	4439.51	777.391	846.949	1133.29	4071.53	1089.77	1110.82	820.382	2347.72	742.021	3766.7	1101.93	1039.46	1492.27	1323.48	1087.85	1039.81	1175.98	1250.64	1196.25	1071.62	1014.57	1102.66	1897.16	1246.63	1069.84	1103.93	1025.45	16771.2	3483.3	10577.5	6236.95	4983.83	8070.77	3501.65	1857.73	5280.18	672884	-737.222	3082.05	5513.61	4758.95	8936.77	8137.31	5229.02	59832.4	-73983.7	26366.5	5651.62	-1164.25	95.1251	388.328
119000	119	2.48925	100815	1514.07	1001.68	1371.7	787.526	650.505	574.093	3693.99	782.95	854.664	4403.85	1198.69	1019.9	883.328	1804.91	4412.52	825.347	917.145	1095.74	4004.56	934.641	1059.07	817.28	2381.32	785.242	3789.67	1096.55	1060.84	1502.2	1187.17	1036.56	1030.53	1185.78	1319.35	1367.28	1042.1	932.126	1190.15	1801.58	1205.76	1001.11	1079.83	1176.94	16657.7	3452.3	11570.2	6303.99	4864.05	8213.14	3408.11	2037.45	5361.29	671535	-797.444	3039.09	5543.86	5046.42	9105.11	8391.98	5152.23	59907	-74064.9	26430.4	5563.12	-1166.51	82.178	412.065
119500	119.5	2.47065	100061	1525.31	1015.4	1438.53	845.073	658.173	595.574	3553.22	725.976	997.82	4314.2	1323.06	970.673	896.166	1758.65	4388.77	880.888	901.663	1123.15	4215.1	1109.44	1145.06	810.161	2479.11	765.403	3652.18	1128.77	1094.05	1519.7	1282.43	1086.75	1032.62	1195.6	1361.95	1390.17	1000.93	1042.41	1029.18	1875.33	1264.19	1119.61	1105.15	1124.43	16988.9	3377.89	10930.7	6080.96	4772.88	8173.43	3633.6	2017.91	5608.01	672004	-764.11	3052.61	5500.72	4820.07	8815.73	8325.86	5279.42	59894	-74184.5	26320.8	5606.43	-1167.76	94.9175	378.86
120000	120	2.49602	101089	1509.86	1001.25	1509.63	863.525	659.965	611.679	3681.74	853.243	908.506	4389.37	1220.75	1087.5	858.8	1666.91	4275.37	838.167	855.955	1156.35	3831.84	1021.38	1090.06	875.186	2418.51	748.778	3763.76	983.39	1143.83	1536.48	1434.08	1058.62	1082.92	1032.47	1262.88	1311.46	1004.27	957.054	1184.17	1742.05	1345.77	1054.13	1125.94	1172.95	16115.3	3512.84	10569.3	6318.86	4931.96	8219.49	3720.6	1960.87	5272.09	671646	-905.105	3033.75	5524.73	4900.63	9182.76	8421.05	5230.97	59781.4	-73518.8	26373.1	5623.23	-1164.72	108.97	379.453
120500	120.5	2.49456	101029	1624.53	1049.79	1477.78	919.36	665.499	640.134	3533.52	794.575	855.146	4321.09	1175.34	1102.01	875.785	1767.69	4310.57	855.433	907.665	1071.33	4080.29	985.173	1136.59	842.809	2375.97	798.627	3564.5	1003.66	1133.36	1407.36	1315.64	1047.42	1057.77	1103.32	1327.76	1382.71	1094.8	1009.95	1106.77	1829.02	1334.78	1194.23	1161.41	1151.35	16578.6	3413.56	11395.7	6492.24	4823.45	7837.18	3493.5	2073.97	5230.97	671205	-897.603	3059.11	5575.24	4815.77	9047.1	8435.72	5210.46	59873.4	-73721	26455.7	5650.22	-1168.11	89.0365	386.844
121000	121	2.49033	100858	1490.21	945.511	1468.92	872.495	650.708	596.958	3466.1	703.965	851.665	4565.11	1187.81	1037.39	901.948	1744.63	4308.33	866.299	880.983	1073.07	3886.64	1000.05	1082.33	905.991	2431.79	762.845	3690.64	1077.81	1092.92	1458.17	1319.53	1101.97	1099.94	1103.67	1288.2	1429.92	1019.19	1022.71	1122.16	1964.86	1318.75	1180.35	1116.34	1092.57	16586.9	3484.28	10714.1	6440.14	4858.76	8027.18	3445	2020.93	5560.83	672663	-853.726	3073.65	5463.47	4937.17	9058.84	8397.34	5266.09	59856.5	-74054.7	26312.1	5610.38	-1165	115.49	371.793
121500	121.5	2.47427	100208	1550.83	999.723	1494.03	930.942	664.571	589.892	3589.89	737.212	881.954	4385.66	1211.88	1071.92	878.583	1642.61	4257.78	853.171	892.084	1023.51	4016.71	1134.03	1156.55	815.154	2497.41	820.574	3529.83	1039.25	1163.78	1476.9	1250.31	1045.75	1097.67	1155.2	1367.7	1296.35	1171.82	1081.57	1043.58	1754.64	1241.94	1165.47	955.691	1068.49	16525.4	3326.92	11118.5	6220.28	4795.77	8045.77	3672.15	1857.16	5266	670912	-707.446	3017.54	5503.73	4759.69	9146	8833.01	5212.11	59799.3	-73488.3	26388.9	5609.75	-1166.93	94.7907	385.492
122000	122	2.45757	99531.5	1447.9	1005.96	1454.41	880.935	657.684	549.084	3493.28	807.5	928.904	4486.58	1089.02	1096.66	884.6	1770.09	4354.27	810.359	904.188	1129.79	3983.35	1037.18	1136.8	815.104	2505.51	796.96	3717.57	1105.69	1099.42	1503.55	1342.38	962.73	1106.5	1176.06	1224.59	1369	1052.33	1066.91	1063.36	1831.68	1252.01	1152.99	1063.61	1178.9	16294.4	3435.2	11382.8	6143.42	4775.42	8119.46	3567.64	1833.22	5496.6	672467	-695.992	3057.71	5458.22	4644.1	8951.93	8440.97	5268.01	59884.8	-73881.8	26424.6	5687.08	-1165.32	99.1128	383.863
122500	122.5	2.46941	100011	1531.4	1006.41	1536.06	882.234	705.054	602.629	3578.29	760.484	872.446	4487.29	1190.59	1124.41	876.919	1778.66	4281.01	767.311	916.85	1111.93	4099.84	1104.11	1099.06	854.09	2437.05	821.121	3604.38	978.948	1126.56	1519.94	1237.94	1049.88	1118.69	1152.72	1288	1231.9	1007.12	1053.28	1130.35	1802.31	1353.39	1063.26	1072.12	1135.05	16883.2	3501.56	10887	6143.24	4993.58	8220.71	3588.25	1903.6	5728.95	671938	-687.749	3042.53	5546.02	4967.6	8799.16	8427.79	5203.35	59772.7	-74219.3	26338.6	5619.47	-1167.57	91.5253	388.007
123000	123	2.46685	99907.5	1548.44	1002.1	1512.12	862.871	670.991	599.908	3737.5	761.817	864.605	4343.63	1359.58	1042.68	872.269	1722.21	4333.44	863.471	901.665	1104.76	4044.41	1092.97	1066.54	849.025	2417.65	767.326	3832.84	1044.29	1054.43	1441.55	1340.55	1096.57	1211.97	1212.6	1315.26	1362.49	930.367	993.443	1042.62	1801.19	1268.36	1125.59	1075.52	1152.33	16204.6	3294.53	11107.5	6280.43	4917.46	7954.33	3613.58	2002.04	5351.36	670936	-655.127	3040.13	5504.25	4925.98	9143.84	8418.53	5217.32	59864.7	-73618.6	26500.7	5601.3	-1166.05	79.26	395.146
