step	time	T	Ekin	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	bond_124	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_65	dihedral_67	dihedral_8	lj	lj-14_0	lj-14_1	lj-14_3	lj-14_4	lj-14_5
10000	10	2.47135	100090	1467.36	904.391	1410.22	878.364	631.496	564.664	3935.89	764.879	828.568	5030.13	1265.72	1078.16	918.604	1686.58	4506.93	833.218	870.995	1016.34	4215.31	1019.4	1117.19	834.108	2714.77	757.91	3991.58	1063.89	1144	1687.9	1342	1124.15	1101.85	1209.49	1425.56	1271.45	1055.68	1134.98	1103.64	1914.22	1258.21	1155.98	1147.44	1139.48	16360.9	3206.9	10383.1	6297.36	4947.89	7891.64	3491.06	2062.18	5429.6	687159	-3858.38	4059.03	5010.96	4925.85	8719.9	8244.49	6000.6	59700.1	-73957.4	26380.3	5202.98	-1163.08	267.807	238.771
10500	10.5	2.47288	100152	1483.43	923.288	1451.51	875.451	674.386	573.037	4116.19	779.897	884.78	4892.14	1184.25	1080.29	899.133	1717.63	4146.31	829.432	828.937	973.45	4318.93	1026.22	1193.78	808.632	2663.65	775.448	3681.52	1061.87	1079.82	1635.08	1218.01	1097.52	1095.86	1282.97	1383.71	1292.32	1015.76	1042.07	1141.25	1826.35	1298.04	1214.48	1057.08	1123.79	16210.1	3430.27	10987	6411.87	5131.58	7904.42	3574.8	2027.86	5603.44	686714	-3432.68	3954.28	4996.44	5054.63	9007.18	8467.29	5957.41	59901.8	-73653.2	26497.1	5226.18	-1163.46	271.776	246.776
11000	11	2.48488	100638	1495.39	972.522	1492.21	855.373	695.769	598.75	4118.98	726.413	899.012	4951.3	1338.81	1080.6	885.483	1857.9	4373.62	785.526	878.988	1117.16	4216.95	1035.2	1127.8	813.26	2669.64	711.48	3720.74	1080.41	1133.31	1612.29	1396.95	1096.02	1020.31	1158.4	1360.15	1321.76	1005.68	1021.49	1209.47	1842.24	1205.08	1099.98	1027.12	1062.6	16465.2	3431.64	10998.4	6306.54	5049.28	7734.33	3432.91	1820.23	5541.34	686509	-3578.26	4060.52	5019.12	4883.2	9035.97	7978.11	5986.38	59832.2	-73554.2	26326.8	5158.52	-1168.26	263.136	247.707
11500	11.5	2.48178	100512	1628.23	961.188	1447.73	959.242	650.077	624.817	4219.93	784.265	843.295	5126.62	1268.48	1135.84	910.567	1674.75	4271.69	832.771	911.452	1067.88	4303.72	1124.32	1076.89	891.676	2524.78	751.373	3944.26	1116.74	1164.6	1725.41	1252.37	1110.17	1094.78	1106.31	1354.63	1246.62	1029.13	1061.62	1225.3	1809.48	1343.58	1058	1126.36	1129.39	16528	3385.52	10642.7	6369.86	4893.85	7955.27	3537.09	2051.01	5324.79	686945	-3667.59	4029.98	5005.9	4927.34	8742.71	8146.5	5934.23	59805.8	-74073.4	26368.1	5223.9	-1166.33	260.807	261.201
12000	12	2.45578	99459	1478.52	965.177	1375.49	905.866	606.251	572.087	3941.23	788.079	848.725	5103.58	1246.98	1102.5	884.465	1611.11	4359.21	804.634	850.465	1051.7	4322.26	949.446	1039.44	861.756	2706.19	760.674	3776.36	1045.91	1119.92	1705.43	1280.95	1094.39	1098.71	1162.81	1392.88	1270.03	1072.27	1022.83	1113.35	1847.51	1421.36	1057.91	1082.74	1112.12	16094.8	3310.23	10767	6390.33	4933.23	8004.99	3565.9	1892.45	5545.23	686479	-3513.49	4013.93	5009.24	5098.97	8658.19	8170.02	5942.99	59863.6	-73576.8	26528.8	5246.19	-1159.72	254.935	252.586
12500	12.5	2.48162	100506	1466.45	959.647	1411.81	860.764	659.913	561.799	3990.78	733.63	804.344	4792.48	1259.9	1057.89	886.37	1670.24	4351.71	842.569	834.94	991.173	4113	1070.48	1207.09	902.314	2625.77	788.656	3915.29	1109.1	1074.5	1568.34	1297.56	1058.77	1161.01	1141.56	1391.69	1322.96	1068.45	1003.7	1135.59	1823.1	1353.46	1096.78	1160.92	1211.24	15967.2	3605.54	10819.7	6289.91	4996.2	8182.93	3590.83	1966.97	5438.4	686161	-3671.81	4053.25	5016.67	5030.61	8712.23	8283.86	5915.37	59857.5	-73334.9	26492.1	5195.46	-1162.14	258.645	273.119
13000	13	2.48647	100702	1541.73	1003.21	1406.72	810.086	647.821	623.235	3947.01	800.07	860.159	4816.47	1266.23	1060.42	941.515	1757.56	4443.45	843.583	882.46	1041.78	4568.94	1072.55	1120.39	839.823	2537.56	755.408	3568.51	1070.43	1088.2	1581.34	1326.85	1128.14	1055.25	1080.83	1364.44	1286.63	1076.86	1050.18	1195.47	1846.85	1313.02	1151.73	1089.08	1263.22	16806.8	3282.4	10836	6196.89	5043.01	8130.89	3492.75	2061.2	5453.16	686346	-3668.59	3985.79	5013.21	5058.44	8823.54	8337.97	5922.66	59850.9	-73252.3	26350.5	5282.13	-1164.16	277.837	265.624
13500	13.5	2.47433	100210	1469.1	1026.44	1419.45	949.685	667.636	566.664	4148.85	690.14	880.176	5013.63	1281.14	1106.11	910.894	1787.03	4443.11	823.307	863.739	1046.72	4491.08	1035.93	1144.12	815.356	2686.37	666.748	3715.43	1102.24	1134.52	1612.17	1318.72	1061.68	1062.4	1119.74	1310.64	1258.08	1067.66	1011.72	1141.76	1904.41	1225.42	1183.57	1069.65	1187.47	16468.3	3452.58	10268.5	6327.38	4991.53	7972.02	3662.14	2028	5339.53	685777	-3808.22	4027.48	5022.92	5041.26	8934.19	8213.78	5929.09	59920.5	-73794.7	26401.2	5201.38	-1162.19	248.974	247.21
14000	14	2.48745	100742	1508.45	920.931	1360.2	892.427	617.631	559.296	3883.3	752.435	849.227	5008.13	1282.66	1045.7	864.932	1683.79	4513.87	930.4	875.155	1110.8	4457.87	1026.27	1050.67	853.238	2591.31	727.556	3551.47	1098.51	1102.43	1602.6	1362.72	1062.52	1119.05	1167.85	1231.51	1307.74	1077.48	944.646	1046.08	1837.9	1362.23	1116.37	1079.22	1154.14	16211.9	3451.54	10703.8	6305.29	4916.26	8110.76	3501.47	1911.97	5388.32	687038	-3644.51	3995.86	5012	4866.25	8773.23	8305.35	5985.88	59835.2	-73812.9	26487	5211.99	-1161.27	262.506	267.417
14500	14.5	2.48333	100575	1489.74	911.558	1393.42	902.573	630.861	586.617	3940.05	766.903	878.268	4941.3	1133.24	1080.46	886.647	1650.97	4467.92	805.32	817.775	997.248	4099.22	1014.37	1102.45	836.596	2667.99	791.973	3810.56	1090.4	1232.74	1626.96	1319.34	1113.43	998.078	1114.83	1280.43	1272.17	1134.57	1048.98	1122.1	2011.17	1259.88	1039.54	1077.96	1131.06	16468	3144.98	10898	6087.92	5053.11	8150.08	3600.86	1986.77	5476.78	686181	-3510.14	3953.21	5038.9	4970.94	8814.01	8349.92	5877.05	59908.6	-73463.8	26458.8	5287.79	-1161.76	271.164	261.363
15000	15	2.46914	100000	1541.3	942.251	1462.63	893.748	641.672	600.901	3918.44	753.278	920.013	5222.4	1303.51	1082.55	884.334	1696.2	4376.66	844.012	864.989	1010.71	4294.44	1113.7	1148.54	838.858	2626.5	736.962	3607.21	1136.99	1143.48	1597.17	1285.92	1124.16	1028.41	1262.63	1259.96	1332.94	1050.18	989.104	1130.47	1848.09	1303.5	1174.49	1182.91	1206.28	16140.9	3343.42	10896.4	6193.74	4918.07	7938.47	3475.6	2003.93	5290.77	686329	-3365.42	3970.22	5057.45	5040.99	8845.64	8243.09	5915.55	59857.4	-73900.7	26487.1	5192.77	-1164.59	250.043	250.506
15500	15.5	2.47394	100194	1544.12	1018.84	1474.61	932.026	658.799	624.629	4008.95	819.674	832.316	4902.51	1358.33	1142.96	874.62	1742.62	4255.21	805.066	864.078	1030.17	4268.42	1046.93	1138.75	841.118	2663.83	792.943	3651.81	1041.91	1133.11	1636.04	1381.75	1051.7	1104.95	1139.41	1297.45	1322.24	1000.1	1156.24	1220.83	1773.32	1358.5	1142.59	1146.31	1157.12	16658.9	3353.64	10639.2	6414.87	5035.04	7923.8	3732.12	1907.66	5471.94	684726	-3399.32	3958.46	5085.1	5131.03	8867.68	8347.52	5874.64	59802.8	-73592.4	26289.6	5250.15	-1166.74	250.977	261.277
16000	16	2.49716	101135	1465.72	950.889	1447.99	918.522	656.8	587.613	4083.48	772.032	819.146	5014.81	1227.59	1036	898.456	1713.61	4361.24	848.147	844.661	989.015	4519.55	1042.81	1263	809.56	2751.7	745.811	3638.64	1086.9	1046.02	1636.97	1338.08	1055.22	1197.16	1161.54	1423.73	1271.16	986.927	1082.47	1120.1	1827.73	1225.47	1165.12	1147.71	1113.32	15938.6	3356.96	10695.4	6392.74	5094.04	8154.96	3491.18	2028.75	5430.3	686082	-3378.64	3851.31	5071.36	5109.81	8656.95	8437.72	5879.5	59851.9	-73820.2	26488.3	5249.93	-1161.54	232.206	269.78
16500	16.5	2.4871	100728	1387.53	916.693	1371.33	859.34	632.066	565.386	3925.14	771.423	816.871	4844.48	1270.39	982.937	885.859	1708.03	4380.28	849.889	827.079	1134.38	4259.49	1003.04	1169.88	833.08	2684.5	766.808	4039.39	1129.4	1112.53	1648.88	1289.18	1087.35	1160.28	1049.54	1425.6	1381.29	968.864	1132.34	1131.98	1723.87	1389.81	1149.96	1033.91	1112.29	16417.4	3524.34	10904.6	6481.61	4731.88	7896.49	3543.74	1882.96	5515.08	685545	-3243.25	3938.75	4989.51	4960.31	9069.15	8503.93	5916.44	59923.1	-73712.2	26335.3	5254.47	-1161.77	268.991	262.976
17000	17	2.47996	100438	1505.39	951.956	1391.58	835.406	638.891	585.205	3990.78	758.488	797.822	5169.66	1217.75	1153.9	888.916	1684.45	4543.24	869.61	871.192	976.912	4191.75	1111.1	1072.5	865.694	2561.1	746.853	3879.79	1128.78	1085.86	1568.26	1233.08	1066.85	1090.94	1132.23	1301.05	1339.18	1082.07	1117.74	1057.66	1867.74	1209.23	1155.8	1109.02	1174.83	16190	3486.02	10407.9	6192.36	5096.7	7955.5	3568.43	2071.54	5671.47	685319	-3215.82	3947.82	4995.07	4996.33	8801.11	8223.62	5910.35	59814.8	-73751.8	26489.1	5252.46	-1159.17	264.667	250.698
