step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
9500	9.5	2.48691	2.47614	2.48811	55955.6	0	749.267	776.042	414.256	543.845	451.146	487.146	410.411	653.895	521.373	543.967	490.103	722.411	605.453	364.752	553.198	473.013	561.789	385.106	632.586	548.238	535.57	527.283	655.834	601.849	376.735	606.218	468.784	508.74	387.848	734.32	497.625	460.159	506.744	0	0	0	0	0	0	0	0	0	1943.09	0	1929.85	2039.54	1802.36	4236.88	1479.81	659.784	3061.76	0	2063.85	0	767.427	983.432	4365.77	1178.49	2874.87	0	1922.51	0	584.29	0	0	5784.43	0	-338.147	502.975	0	0	-23320
10000	10	2.47212	2.47614	2.47168	55622.8	0	830.922	721.04	383.225	551.376	494.222	502.964	388.98	641.716	479.693	559.538	487.481	680.765	745.007	405.742	565.852	533.11	478.14	385.133	664.105	494.301	511.985	550.519	787.891	626.238	408.01	561.038	480.007	478.024	344.916	594.216	428.159	479.821	520.624	0	0	0	0	0	0	0	0	0	1855.44	0	2010.42	1966.87	2031.23	3972.7	1462.66	689.952	2960.11	0	2165.11	0	720.324	939.259	4327.4	1208.81	3068.26	0	1770.49	0	602.154	0	0	5756.04	0	-338.168	516.873	0	0	-23433.5
10500	10.5	2.48373	2.47614	2.48458	55884	0	768.08	773.095	387.915	612.041	476.219	502.185	357.629	594.065	524.144	477.528	463.315	876.138	695.511	398.734	575.353	515.309	501.507	394.592	671.355	537.144	481.994	505.207	724.582	599.795	408.354	599.649	447.174	484.186	417.42	573.245	445.699	557.728	581.489	0	0	0	0	0	0	0	0	0	1822.09	0	2054.5	2075.04	1880.06	3869.44	1389.65	670.996	3098.93	0	2074.2	0	665.116	936.241	4363.98	1137.89	2894.88	0	1792.31	0	543.189	0	0	5717.06	0	-337.864	496.757	0	0	-23381.8
11000	11	2.48051	2.47614	2.481	55811.5	0	769.44	655.23	389.511	522.655	531.072	503.799	398.604	638.616	518.442	510.484	502.559	822.934	640.695	407.517	561.19	518.406	469.735	440.36	634.304	466.66	497.786	520.604	648.271	655.474	394.294	582.22	471.007	503.144	407.383	599.545	452.419	488.215	614.878	0	0	0	0	0	0	0	0	0	1905.86	0	2030.87	2012.33	2095.71	4117.93	1506.93	663.5	3139.91	0	2065.83	0	630.505	929.28	4375.85	1126	2801.12	0	1934.16	0	572.771	0	0	5865.24	0	-338.244	504.593	0	0	-23340.7
11500	11.5	2.48672	2.47614	2.48789	55951.1	0	744.56	828.862	446.192	529.554	515.631	458.377	390.707	621.061	549.331	503.732	555.679	843.669	692.112	424.106	527.162	518.06	462.79	404.374	644.506	503.223	569.863	458.597	632.086	611.207	381.05	627.775	546.657	471.519	378.594	615.286	511.3	489.355	478.278	0	0	0	0	0	0	0	0	0	1952.57	0	1998.37	2052.79	1852.13	4012.68	1527.1	712.066	3037.86	0	2136.26	0	562.208	1009.58	4360.27	1225.43	2933.63	0	1797.04	0	609.641	0	0	5693.25	0	-338.061	492.519	0	0	-23434.7
12000	12	2.47824	2.47614	2.47848	55760.5	0	780.886	771.772	406.127	587.467	461.355	459.942	435.854	607.64	535.427	501.634	534.342	775.903	713.876	415.754	506.58	483.935	499.149	440.461	584.311	517.32	516.658	536.685	666.944	602.614	355.11	634.901	520.536	464.544	362.431	592.247	495.78	526.935	571.603	0	0	0	0	0	0	0	0	0	1880.24	0	2006.55	1958.31	2040.81	4061.85	1449.69	835.079	3062.68	0	2042.13	0	629.968	1035.13	4378.97	1110.22	2859.6	0	1697.18	0	561.296	0	0	5911.31	0	-338.187	523.641	0	0	-23454.8
12500	12.5	2.48185	2.47614	2.48248	55841.6	0	778.33	782.881	393.476	624.423	458.357	498.509	361.342	622.039	502.171	487.006	483.491	746.335	761.231	413.991	527.527	428.767	537.199	475.182	565.057	504.7	473.708	525.903	650.401	647.316	419.95	540.717	477.88	538.562	357.696	690.737	485.486	563.22	507.506	0	0	0	0	0	0	0	0	0	1743.5	0	2080.98	2099.99	1880.72	3966.87	1493.85	663.063	3114.58	0	2016.53	0	372.05	983.526	4372.63	1194.09	2973.96	0	1784.77	0	592.282	0	0	5705.9	0	-338.179	498.707	0	0	-23582.7
13000	13	2.48708	2.47614	2.48829	55959.2	0	787.516	771.879	373.064	578.422	446.14	469.826	347.327	606.823	508.242	525.291	486.373	743.78	691.979	434.002	537.007	480.598	516.8	363.036	688.84	503.331	512.401	457.26	713.421	722.759	436.529	538.135	453.13	479.888	368.921	602.962	539.937	483.863	532.79	0	0	0	0	0	0	0	0	0	1915.53	0	1955.97	1870.6	1740.06	3966.91	1398.06	718.242	2919.13	0	1973.48	0	486.918	1074.39	4356.2	1151.04	2949	0	1715.85	0	582.957	0	0	5759.28	0	-338.369	500.18	0	0	-23591.4
13500	13.5	2.50078	2.47614	2.50352	56267.6	0	689.612	741.288	353.527	588.296	482.094	510.089	352.065	636.003	489.704	478.908	464.391	791.57	689.13	385.108	525.454	486.159	523.25	438.527	661.191	494.681	498.04	501.44	622.842	632.154	411.905	576.337	495.169	457.836	386.225	579.709	482.956	501.355	468.793	0	0	0	0	0	0	0	0	0	1772.6	0	2093.92	1962.38	1805.13	4122.32	1457.07	742.708	2983.24	0	1971.32	0	362.659	1031.53	4325.32	1240.77	3137	0	1761.12	0	619.067	0	0	5807.44	0	-338.154	494.48	0	0	-23625.5
14000	14	2.47921	2.47614	2.47955	55782.2	0	701.911	821.397	385.212	626.785	550.213	497.941	404.624	662.845	517.071	497.988	540.577	713.759	687.122	388.524	541.472	500.532	491.773	431.504	606.766	579.401	525.521	515.197	630.632	640.955	363.382	611.632	440.351	575.434	395.397	648.401	509.08	539.834	475.23	0	0	0	0	0	0	0	0	0	2023.74	0	2016.75	1921.07	1903.73	4032.58	1496	655.823	3170.3	0	2115.6	0	368.436	1041.08	4327.16	1107.35	3027.75	0	1867.09	0	560.939	0	0	5918.79	0	-338.146	507.344	0	0	-23608.4
