step	time	T	T-cg	T-at	Ekin	res	angle_252	angle_253	angle_254	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285_cross	angle_286_cross	angle_287_cross	angle_288_cross	angle_289_cross	angle_290_cross	angle_291_cross	angle_292_cross	angle_293_cross	bond_124	bond_124_cross	bond_125	bond_126	bond_127	bond_128	bond_129	bond_130	bond_131_cross	bond_132_cross	bond_54	coulomb	dihedral_124	dihedral_160	dihedral_3	dihedral_37	dihedral_4	dihedral_4_cross	dihedral_65	dihedral_65_cross	dihedral_67	dihedral_8_cross	lj	lj-14_0	lj-14_0_cross	lj-14_2	lj-14_3	lj-14_8_cross	lj-14_9_cross	tab-cg
60600	60.6	2.46827	2.47614	2.46739	55536	0.40599	732.352	692.344	401.434	622.103	486.467	535.598	401.943	570.891	490.308	495.381	521.689	683.371	724.49	422.26	525.931	491.268	502.513	360.509	693.04	512.358	477.2	554.46	620.648	562.082	364.245	595.89	470.876	455.436	394.201	662.335	535.158	496.481	538.456	313.96	280.866	231.594	119.018	129.812	258.793	336.899	125.577	277.05	2188.19	1474.47	2166.62	1989.06	1859.01	3950.45	1438.77	724.158	2056.04	692.896	2107.55	64577	-1444.1	1613.49	4343.6	1068.02	2846.76	453.105	1676.6	2056.9	562.008	5597.64	-3237.93	5681.17	-52.0699	-338.755	515.148	2934.64	-68.5954	-20780.7
60700	60.7	2.46929	2.47614	2.46853	55559.1	0.40699	684.022	705.573	383.433	564.405	455.195	481.051	382.356	630.607	541.698	489.139	574.966	719.592	635.206	399.861	530.936	498.599	514.263	399.138	599	583.123	490.393	527.134	587.749	655.979	387.978	614.936	473.19	457.839	344.897	650.524	457.564	469.416	486.523	337.381	308.61	234.801	140.014	136.038	265.354	297.108	127.193	289.72	2179.44	1381.97	2254.7	2028.25	1957.55	4019.67	1466.65	683.222	1988.49	709.664	2153.66	65013.1	-1352.07	1590.28	4367.07	1093.78	2749.7	462.797	1660.44	2017.65	566.04	5610.21	-3213.65	5743.84	-52.0818	-338.501	518.801	3020.31	-67.0608	-20774.7
60800	60.8	2.48233	2.47614	2.48302	55852.5	0.40799	703.396	678.88	377.522	589.847	433.658	451.722	407.46	572.81	596.59	512.306	536.559	665.739	681.178	399	636.598	485.472	518.12	386.804	644.512	477.351	497.525	494.833	622.361	586.15	413.763	551.295	502.431	446.743	407.295	568.015	536.693	497.048	519.758	334.449	284.069	228.843	129.215	120.499	267.293	303.281	119.62	286.88	2081.67	1443.29	2199.05	1967.62	1855.87	4011.45	1461.18	700.046	2037.8	770.428	1956.2	65140	-1160.33	1660.27	4390.02	1060.23	2733.72	483.743	1630.93	2016.05	557.635	5623.6	-3278.35	5782.9	-52.4493	-338.505	524.246	2938.06	-69.7464	-20776.4
60900	60.9	2.47576	2.47614	2.47572	55704.6	0.40899	778.02	667.059	366.526	519.058	515.961	505.199	321.849	598.899	564.772	517.284	449.529	646.261	757.96	396.505	522.588	538.522	546.691	386.161	552.623	486.897	527.426	536.259	557.252	557.787	370.975	619.031	529.866	497.027	364.385	578.273	516.989	554.655	521.051	357.875	351.912	240.415	149.48	137.283	255.86	334.741	132.955	267.779	2027.91	1460.31	2151.83	1968.4	1880.26	4001.2	1328.14	667.271	2103.55	731.476	2169.29	65374.5	-1268.68	1594.63	4311.78	1170.85	2957.84	510.444	1620.74	2045.16	594.887	5682.96	-3301.4	5677.11	-52.9095	-338.585	509.025	2981.76	-71.0352	-20764.2
61000	61	2.48228	2.47614	2.48297	55851.4	0.40999	643.717	642.46	369.579	673.103	498.654	527.229	407.611	639.145	477.793	554.437	492.67	674.956	741.351	376.717	507.073	434.355	465.618	365.802	686.785	495.976	578.301	498.304	610.767	535.684	375.974	549.972	479.112	489.652	371.862	598.33	513.374	523.396	512.786	353.01	320.179	226.318	134.878	136.189	280.485	345.694	130.171	274.885	2009.44	1486.21	2195.9	2091.59	1842.25	4028.17	1359.58	710.215	2047.98	703.89	2005.3	65741.8	-1408.78	1616.61	4332.16	1093.35	2790.59	506.313	1554.26	2046.82	563.591	5715.84	-3305.61	5749.34	-53.2414	-338.528	516.971	2983.42	-71.5669	-20723.3
61100	61.1	2.45149	2.47614	2.44875	55158.4	0.41099	752.232	691.13	365.384	531.541	542.126	456.134	398.432	633.163	502.302	569.652	468.069	701.987	713.25	387.692	608.094	534.338	468.2	332.222	640.417	527.784	563.41	557.63	649.938	525.189	339.513	549.506	468.793	531.688	408.636	601.893	518.148	544.329	544.088	368.499	312.664	238.798	143.118	147.52	259.759	347.27	126.75	273.865	2043.46	1431.94	2205.62	1958.17	1782.7	4048.58	1412.62	768.079	2011.41	746.335	2085.9	66042.7	-1331.7	1586.01	4373.68	1061.24	2768.21	490.372	1639.7	2065.81	549.97	5718.3	-3348.87	5586.8	-53.5311	-338.641	507.804	3022.56	-72.5583	-20699.7
61200	61.2	2.46686	2.47614	2.46583	55504.4	0.41199	735.876	668.718	357.752	567.936	463.866	478.837	359.329	594.256	422.86	532.732	483.255	732.757	629.807	353.951	615.607	463.458	499.984	389.99	660.971	475.674	528.738	490.311	609.373	640.007	429.73	609.756	473.475	494.199	384.681	601.56	512.395	565.646	504.532	379.996	315.085	270.908	133.71	150.069	274.079	330.167	123.644	247.11	1988.64	1554.07	2183.97	1905.36	1798.76	4143.34	1422.9	711.255	2002.84	722.353	2089.54	66279.6	-1226.11	1609.37	4392.48	1094.62	2752.85	506.009	1654.09	2114.85	548.43	5740.27	-3383.56	5720.03	-53.5109	-338.705	535.81	3031.93	-71.7701	-20653.9
61300	61.3	2.48092	2.47614	2.48145	55820.7	0.41299	737.785	768.678	367.206	535.306	438.796	439.551	375.179	653.528	509.687	494.802	533.288	719.223	659.411	402.613	566.118	511.832	478.791	395.479	698.692	469.662	445.926	536.491	600.856	535.809	390.648	538.445	432.162	485.209	385.489	629.495	553.534	453.579	534.01	325.046	317.153	227.493	126.257	118.712	261.341	322.912	130.809	254.615	2206.52	1408.33	2228.34	1989.77	1792.63	3842.03	1434.31	756.889	2062.33	742.567	1997.85	66639.5	-1262.03	1620.47	4369.34	1111.15	2810.15	502.811	1536.89	2080.6	566.367	5793.96	-3353.33	5721.8	-54.0283	-338.704	519.171	2991.75	-73.0819	-20605.8
61400	61.4	2.48198	2.47614	2.48262	55844.5	0.41399	660.221	673.422	422.901	608.473	510.376	463.288	346.788	570.034	475.819	539.33	483.468	716.013	651.658	427.031	599.508	500.7	522.697	365.705	643.097	524.953	543.788	503.898	600.649	572.302	336.536	519.978	511.469	466.934	343.889	658.555	491.872	434.463	490.407	302.323	285.811	245.425	126.296	127.919	268.014	317.052	132.945	259.067	2036	1461.98	2262.35	1934.86	1891.22	4075.93	1403.62	742.959	1970.25	676.978	1979.69	67097.3	-1344.03	1635.79	4361.02	1033.67	2859.14	503.939	1621.84	2059.3	535.21	5844.67	-3377.28	5796.16	-54.1354	-338.551	524.774	3108.41	-70.2374	-20589
61500	61.5	2.49224	2.47614	2.49403	56075.5	0.41499	692.498	752.588	364.131	621.93	503.203	540.336	362.404	583.145	461.917	492.901	467.077	716.546	650.531	394.26	521.553	500.972	515.046	401.181	623.618	553.716	538.178	544.861	572.914	653.567	413.293	574.789	444.255	527.362	397.301	526.927	482.201	531.649	456.272	326.806	323.796	262.197	131.526	131.502	275.741	347.815	134.034	285.567	2079.64	1379.93	2261.53	2011.01	1863.25	4110.75	1519.3	696.313	2006.22	782.586	2083.12	67251.3	-1260.78	1609.95	4373.99	1054.53	2761.65	490.088	1682.44	2047.89	546.14	5804.88	-3378.62	5661.29	-54.5978	-338.365	502.637	3078.24	-73.048	-20565.5
61600	61.6	2.49272	2.47614	2.49456	56086.1	0.41599	739.36	692.474	364.035	608.896	524.218	469.143	391.71	592.963	590.744	537.554	519.952	711.513	697.333	399.959	561.775	507.964	470.043	386.223	592.007	550.878	537.257	545.889	568.855	545.995	356.533	551.443	507.548	538.015	346.921	579.819	476.785	486.541	611.834	322.47	286.174	241.063	132.647	120.324	251.115	258.038	115.107	234.916	2058.23	1505.68	2146.78	1985.71	1929.4	3917.53	1423.75	758.707	2041.6	690.38	2117.62	67596	-1306.76	1649.33	4378.94	1073.83	2765.27	499.079	1676.28	2033.23	533.375	5800.48	-3371.61	5680.32	-54.7325	-338.686	517.117	3028.74	-73.4532	-20587.3
61700	61.7	2.46956	2.47614	2.46883	55565.1	0.41699	662.547	708.291	383.277	543.507	498.466	490.175	343.81	698.276	458.955	524.061	475.536	752.262	648.167	371.318	564.499	490.221	460.623	373.262	620.947	436.2	566.717	458.387	646.106	527.416	379.478	518.823	521.418	453.284	386.97	582.227	549.673	513.044	454.649	371.674	323.13	270.079	138.785	150.474	273.804	328.07	133.344	267.585	2016.16	1539.93	2213.71	2087.88	2084.05	4082.15	1430.5	826.014	2036.39	720.469	2141.31	67931.1	-1303.82	1643.51	4372.61	1158.26	2808.26	491.129	1813.49	2064.07	572.43	5890.19	-3396.93	5717.72	-55.021	-338.487	515.096	3103.18	-72.9097	-20547.1
61800	61.8	2.50682	2.47614	2.51023	56403.5	0.41799	652.612	723.639	404.919	562.056	529.422	494.604	390.947	620.496	465.318	522.599	520.355	738.016	710.435	476.146	586.928	543.751	502	406.816	673.218	531.725	524.507	486.78	572.894	506.841	338.813	585.411	483.502	495.04	374.834	575.708	485.961	460.571	527.34	316.971	317.55	259.788	136.846	123.695	300.759	313.366	132.474	280.638	2150.7	1528.9	2025.84	1922.4	1874.48	3939.77	1484.52	721.702	2018.3	705.197	2122.81	68305.2	-1086.98	1617.34	4374.45	1110.03	2728.56	485.046	1585.17	2064.21	555.083	5895.31	-3409.37	5716.15	-55.221	-338.405	519.395	3067.73	-73.254	-20549.6
61900	61.9	2.49075	2.47614	2.49238	56042	0.41899	683.957	757.138	378.165	537.497	484.945	497.46	409.429	621.979	508.337	534.397	569.525	767.834	683.915	382.703	605.763	523.898	483.784	367.117	620.626	484.513	563.291	497.629	569.306	626.268	357.669	563.474	546.784	442.33	384.34	678.768	511.831	526.926	534.512	313.361	294.882	219.532	120.966	146.049	272.229	326.133	127.87	293.472	2075.63	1511.2	2143.34	2025.39	1869.85	3970.12	1412.17	726.746	2019.59	720.43	2019.79	68782.9	-1297.49	1650.64	4361.55	1086.36	2843.54	488.777	1755.71	2065.09	563.059	5965.61	-3432.31	5671.4	-55.393	-338.479	521.214	3140.58	-72.2865	-20501
62000	62	2.48498	2.47614	2.48597	55912.1	0.41999	727.972	719.142	402.871	617.124	469.087	473.333	447.797	599.164	472.054	531.282	528.649	734.182	675.083	400.776	603.619	516.216	524.448	392.201	629.751	474.858	523.76	551.763	588.218	511.479	387.424	592.962	514.866	508.729	379.148	627.719	501.179	475.423	526.449	346.644	324.173	225.775	139.823	129.433	272.554	314.927	143.01	246.212	2098.51	1372.24	2031.1	2156.52	1887.43	3941.64	1532.31	692.462	2039.15	779.619	1954.66	68839.8	-1146.07	1608.7	4348	1114.89	2856.15	511.906	1563.3	2123.13	554.766	5953.38	-3476.25	5706.53	-55.8642	-338.613	521.8	3122.96	-75.3214	-20507.7
62100	62.1	2.45854	2.47614	2.45659	55317.2	0.42099	680.39	712.159	356.55	538.172	500.181	521.556	376.988	689.107	494.043	532.318	541.075	717.695	679.266	395.936	575.412	452.662	514.446	422.132	641.237	536.534	516.885	572.337	564.51	566.072	396.812	505.531	498.868	476.913	435.65	692.971	487.262	516.969	485.572	337.763	301.986	258.517	132.642	134.373	304.281	324.944	123.268	276.604	2058.17	1402.84	2143.96	2057.61	1909.15	4049.6	1460.07	735.713	2034.44	723.357	2118.51	69323	-1290.51	1653.7	4356.25	1206.37	2874.26	503.299	1699.86	2112.55	620.643	6036.84	-3499.52	5786.23	-56.1575	-338.611	514.646	3102.91	-75.4276	-20462.6
62200	62.2	2.49311	2.47614	2.49499	56094.9	0.42199	723.478	665.697	394.787	599.315	514.614	497.164	391.034	683.246	524.429	466.47	529.122	698.386	688.357	363.834	575.969	526.645	452.787	382.256	604.433	561.502	463.051	519.262	609.108	579.243	381.798	532.772	557.133	491.057	383.517	603.228	597.642	478.428	563.217	327.971	319.068	262.089	124.545	133.809	253.621	341.413	139.18	303.496	2089.93	1494.49	2091.15	1963.45	1734.73	3940.63	1402.84	743.586	2010.86	691.312	2150.93	69679.7	-1424.52	1658.48	4389.53	1097.34	2684.31	475.686	1600.17	2135.84	573.535	6048.44	-3513.45	5724.17	-56.2097	-338.667	538.46	3140.4	-75.3489	-20416
62300	62.3	2.45815	2.47614	2.45615	55308.4	0.42299	729.265	651.253	386.767	548.114	474.727	548.666	360.664	599.898	494.569	535.367	517.147	683.674	689.045	413.593	607.388	424.647	479.805	405.702	599.237	499.921	498.202	472.45	557.779	608.146	441.011	573.363	526.169	599.054	400.978	651.813	495.072	439.02	509.98	345.6	303.082	249.262	138.741	119.411	289.734	327.76	135.57	261.855	2066.99	1479.89	2238.31	1904.63	1855.41	4064.13	1384.88	679.914	2017.12	732.109	2186.15	69892.6	-1224.41	1633.33	4333.43	1087.47	2868.48	529.128	1705.89	2135.37	566.688	6021.97	-3527.51	5706.05	-56.6955	-338.514	516.924	3157.18	-75.7993	-20429.9
62400	62.4	2.4883	2.47614	2.48965	55986.8	0.42399	800.171	675.652	355.842	553.761	526.825	478.109	371.889	583.779	479.999	492.362	560.127	654.217	672.929	416.499	566.678	437.939	543.597	365.851	611.109	501.042	493.391	540.438	588.705	553.87	372.513	570.227	496.366	522.376	378.331	649.221	442.345	499.464	516.594	321.026	344.677	252.393	129.269	132.947	251.308	333.133	145.602	252.282	2041.16	1336.04	2139.75	1945.08	1890.95	4130.31	1446.97	668.793	2035.14	779.24	2077.23	70152.6	-1157.22	1606.93	4363.15	1154.72	2796.08	509.848	1603.48	2092.49	563.171	6019.69	-3496.43	5686.39	-56.9365	-338.767	527.347	3149.17	-77.5615	-20438.4
62500	62.5	2.48079	2.47614	2.4813	55817.7	0.42499	691.054	735.938	355.966	542.571	508.972	463.863	359.309	650.118	421.109	482.976	536.938	617.407	694.802	436.327	531.821	512.857	490.775	439.463	588.393	495.851	492.701	477.647	525.273	667.959	385.818	580.395	469.726	463.137	411.224	630.934	489.742	434.451	581.966	320.363	363.813	274.386	142.946	117.777	252.499	313.305	138.451	258.489	2054.41	1598.68	2171.46	2002.75	2001.06	4013.06	1460.06	722.133	2033.28	713.877	2158.84	70497.7	-1273.58	1614.35	4371.73	1097.11	2769.25	491.417	1740.44	2126.34	558.498	6018.51	-3522.77	5730.12	-57.2518	-338.63	514.371	3175.86	-77.8614	-20387.1
62600	62.6	2.46231	2.47614	2.46078	55402.1	0.42599	695.698	691.184	370.344	548.481	511.334	488.686	368.84	656.258	532.643	481.262	563.471	747.269	655.497	427.732	521.995	448.674	436.997	386.182	585.882	480.448	513.643	493.814	556.3	575.723	382.94	622.127	546.155	481.239	421.957	598.944	448.071	520.684	496.955	319.422	271.841	225.556	122.711	125.211	265.823	373.879	145.65	287.459	1850.7	1498.81	2145.77	2042.17	1788.76	3904.61	1372.89	780.063	1988.61	709.887	2012.87	70794	-1290.9	1611.06	4354.35	1155.43	2882.16	519.055	1684.87	2142.87	577.344	6083.02	-3537.67	5723.98	-57.6161	-338.675	522.154	3195.94	-77.9672	-20402.8
62700	62.7	2.49537	2.47614	2.4975	56145.8	0.42699	652.546	746.224	372.277	582.689	479.306	495.906	379.584	662.66	476.75	503.294	584.114	717.193	721.041	385.188	543.723	505.407	518.827	411.367	632.1	515.968	539.452	548.493	578.217	554.173	423.935	595.957	537.83	462.697	421.426	606.35	498.205	503.951	461.306	324.892	332.361	230.397	129.845	127.926	241.868	326.66	141.471	278.011	2084.61	1479.32	2235.71	2050.97	2006.36	3979.52	1396.02	756.416	2083.82	709.48	1992.48	71063.5	-1156.54	1624.65	4343.91	1125.79	2902.76	549.885	1588.2	2215.43	558.746	6121.01	-3579.76	5841.06	-58.013	-338.314	513.379	3181.99	-79.6584	-20345.3
62800	62.8	2.46189	2.47614	2.46031	55392.5	0.42799	687.207	660.483	373.634	577.363	488.871	564.667	370.732	668.985	490.576	503.476	537.033	704.18	631.877	399.584	610.163	506.238	485.434	391.882	675.063	545.666	530.497	522.879	608.444	603.65	402.106	588.858	518.298	472.626	404.596	619.251	541.515	481.432	524.285	351.874	331.158	224.891	137.66	134.956	257.154	303.641	128.58	241.136	2224.35	1508.47	2102.1	1974.4	1814.53	4158.21	1380.62	683.588	2076.71	720.662	2013.42	71305.2	-1401.18	1596.92	4340.59	1093.11	2809.33	526.079	1671.27	2217.27	561.321	6142.03	-3611.31	5764.5	-58.2678	-338.689	536.643	3150.86	-81.3058	-20334
62900	62.9	2.48009	2.47614	2.48052	55801.9	0.42899	695.158	677.409	349.667	556.973	480.75	468.07	371.024	610.723	506.898	572.401	485.454	791.136	643.757	378.963	585.662	530.587	465.753	371.551	598.344	514.203	484.23	488.783	584.741	572.625	399.162	611.714	492.961	465.565	400.048	641.368	550.46	445.355	501.752	342.667	330.537	252.307	150.041	134.424	258.819	347.555	132.072	256.634	2062.91	1481.59	2220.4	1986.98	1955.96	4079.04	1408.21	715.844	2056.67	689.694	2089.97	71708	-1283.95	1559.21	4349.39	1106.32	2905.29	533.686	1675.27	2163.74	565.555	6157.08	-3644.78	5602.64	-58.3128	-338.582	509.994	3248.2	-79.7586	-20346.5
63000	63	2.46329	2.47614	2.46186	55424	0.42999	641.493	748.984	363.107	608.749	467.401	460.198	400.364	604.367	511.234	481.492	497.928	820.153	619.217	412.098	569.563	493.679	457.633	414.934	641.271	531.492	516.824	503.915	604.02	580.49	368.424	608.811	476.107	499.907	441.654	574.627	498.129	510.016	491.539	339.096	306.337	243.897	128.22	123.735	279.964	327.271	132.999	268.946	2077.04	1525.85	2298.3	1971.18	1955.41	3815.21	1396.79	690.888	2058.04	667.75	2143.18	71976	-1307.1	1574.49	4349.22	1061.75	2811.01	548.485	1612.05	2170.7	553.261	6208.6	-3677.13	5719.14	-58.6851	-338.452	518.753	3207.96	-80.5512	-20340.2
63100	63.1	2.47644	2.47614	2.47647	55719.8	0.43099	631.404	728.541	376.526	557.923	489.808	525.623	406.507	575.002	487.242	552.684	482.685	719.501	693.06	429.172	546.925	488.71	473.169	434.337	635.469	448.909	537.305	464.004	728.506	618.138	399.684	641.429	581.628	472.699	372.031	580.465	513.661	500.239	538.199	327.036	314.228	223.804	122.077	124.708	282.249	276.104	126.587	266.759	2127.09	1366.8	2193.96	1903.33	1812.05	4116.28	1366.22	687.322	2070.79	721.846	2059.46	72536.8	-1278.18	1679.56	4371.27	1094.18	2814.48	525.274	1610.7	2116.14	536.628	6251.1	-3713.97	5691.03	-58.8822	-338.517	519.486	3238.6	-80.0232	-20308.3
63200	63.2	2.50949	2.47614	2.51319	56463.5	0.43199	733.778	652.61	402.286	527.365	427.925	505.731	413.987	634.357	471.957	529.48	544.651	761.388	707.658	382.924	541.66	497.39	464.086	358.619	619.88	458.755	457.585	429.943	630.697	585.782	378.829	606.34	476.955	476.181	365.349	619.127	545.873	516.468	496.943	371.218	360.833	248.949	155.215	134.339	271.78	350.025	141.138	260.804	2058.63	1470.6	2213.98	1997.1	1834.32	3933.39	1408.75	710.483	2087.16	800.35	2047.3	72759.7	-1300.97	1624.37	4368.13	1074.51	2768.1	529.677	1622.6	2200.11	540.446	6284.26	-3699.59	5713.74	-59.1778	-338.697	534.757	3279.24	-81.2167	-20272.1
63300	63.3	2.47952	2.47614	2.4799	55789.3	0.43299	681.505	691.737	371.83	579.929	452.363	459.933	357.4	620.544	496.718	522.847	497.727	754.909	687.179	391.586	571.762	465.298	495.411	396.165	664.332	509.064	611.693	509.6	599.255	562.344	443.596	556.211	481.28	526.299	392.866	648.771	538.449	523.678	504.836	348.413	346.93	241.343	139.89	131.081	289.792	363.478	152.15	276.723	1999.13	1567.45	2357.6	1954.57	1834.21	4019.48	1399.77	724.261	2127.98	735.825	2183.91	72891.4	-1299.21	1638.48	4314.3	1160.98	2972.87	523.905	1641.71	2105.27	598.201	6249.18	-3686.98	5651.14	-59.5652	-338.703	506.42	3298.61	-83.0754	-20271.6
63400	63.4	2.47331	2.47614	2.473	55649.5	0.43399	636.327	706.875	393.294	530.967	564.585	442.255	363.417	591.914	482.191	536.635	472.278	760.079	676.759	395.44	597.984	435.847	498.978	352.851	582.982	542.096	467.999	472.771	560.965	545.762	377.419	540.755	495.445	438.115	407.628	651.947	518.467	426.981	552.69	332.946	315.002	249.521	128.444	125.699	257.252	314.788	139.107	257.016	2086.37	1394.92	2267.68	1963.08	1995.44	3971.78	1527.43	665.884	2065.76	683.032	2142.67	73435	-1167.07	1604.38	4325.81	1085.52	2798.63	480.925	1600.32	2110.84	578.704	6313.69	-3725.9	5690.6	-59.9028	-338.704	513.774	3322.07	-81.5665	-20261.2
63500	63.5	2.49002	2.47614	2.49156	56025.4	0.43499	686.83	643.861	359.137	631.749	444.906	499.415	327.602	592.786	442.485	552.155	559.168	663.684	728.141	437.759	639.983	484.943	466.437	396.662	703.872	472.191	539.428	521.613	607.725	573.574	370.885	599.217	468.454	450.685	345.937	588.32	521.073	489.472	539.464	306.01	346.899	253.573	138.597	119.385	262.576	324.274	137.446	265.148	1997.6	1379.3	2152.14	2005.06	1950.71	4029.35	1403.21	733.495	2026.74	636.99	2029.54	73764.9	-1093.69	1571.18	4361.34	1219.61	2896.62	485.29	1561.54	2097.2	605.375	6338.72	-3759.48	5743.61	-60.1498	-338.45	516.499	3366.8	-81.0398	-20193
63600	63.6	2.48176	2.47614	2.48238	55839.5	0.43599	619.605	681.182	345.914	627.07	493.663	530.697	414.8	649.792	549.664	466.452	517.342	723.395	670.7	384.27	571.112	455.975	470.263	428.395	612.133	520.902	528.401	514.229	618.095	526.803	391.949	577.09	503.807	501.637	387.894	582.046	535.573	513.213	517.77	338.012	309.998	243.662	124.861	126.458	267.581	322.242	140.479	279.049	2202.87	1551.54	2176.41	1980.58	1946.15	3925.91	1315.05	694.244	2060.13	776.9	2111.35	74052.8	-1408.98	1658.4	4338.03	1142.94	2847.85	482.219	1785.26	2083.42	569.575	6406.18	-3775.03	5653.84	-60.5574	-338.671	519.808	3325.3	-82.6279	-20150.4
63700	63.7	2.51353	2.47614	2.51768	56554.4	0.43699	678.325	725.635	384.035	550.374	482.555	499.365	337.521	601.182	519.654	532.169	502.165	634.341	701.015	411.719	498.272	475.905	483.288	445.081	613.559	501.557	501.73	604.601	539.845	554.463	387.707	617.963	505.661	439.924	422.517	622.904	540.54	558.433	485.777	367.502	330.459	258.006	130.201	151.495	254.645	313.508	133.585	266.748	2142.47	1470.68	2281.25	2017.68	1932.25	3976.41	1441.64	763.878	2046.42	800.847	2094.54	74338.4	-1235.57	1528.48	4360.73	1049.65	2685.3	513.831	1703.47	2115.68	549.913	6377.79	-3760.51	5841.42	-60.6412	-338.449	520.073	3318.44	-83.4794	-20152.5
63800	63.8	2.49133	2.47614	2.49302	56054.9	0.43799	722.118	733.267	324.674	623.466	588.335	536.878	396.748	644.466	510.08	431.561	520.932	743.927	603.568	381.852	534.374	534.876	475.798	351.989	778.216	526.235	482.802	512.916	635.489	545.327	373.133	716.7	457.729	545.099	386.791	577.705	527.332	510.848	504.684	316.295	314.564	246.31	130.814	125.001	250.841	330.072	140.19	278.803	1998.03	1513.17	2224.89	2123.99	1927.97	4005.9	1499.89	732.218	2044	772.578	2023.87	74878.6	-1374.33	1636.76	4353.07	1113.99	2828.17	521.17	1668.48	2141.38	563.327	6462.04	-3817.12	5797.99	-60.9186	-338.387	539.327	3377.56	-82.3885	-20137.2
63900	63.9	2.474	2.47614	2.47376	55665	0.43899	656.69	655.117	383.753	554.064	479.751	533.898	380.426	703.681	497.516	506.262	530.52	744.019	663.546	379.806	548.634	496.874	513.807	382.996	658.868	531.127	542.846	553.171	630.694	542.943	337.556	529.015	472.975	456.799	372.606	639.411	463.756	495.142	528.979	358.512	298.046	229.723	137.182	141.071	235.765	324.204	135.598	254.421	2049.55	1462.79	2295.95	2109.89	1874.3	3991.4	1321.29	659.551	2077.12	736.77	2262.12	74982.9	-1369.57	1643.97	4363.25	1138.29	2741.39	490.322	1561.16	2070.33	590.075	6404.8	-3817.43	5618.6	-61.4681	-338.646	505.485	3360.95	-85.0253	-20111.7
64000	64	2.49608	2.47614	2.4983	56161.8	0.43999	719.215	692.772	400.907	576.794	471.367	466.804	367.907	608.581	496.102	568.868	515.907	790.786	699.004	446.026	542.075	478.037	525.027	415.731	582.532	522.637	506.71	582.438	563.984	541.679	350.294	525.779	508.988	495.157	353.587	638.23	489.631	492.671	494.301	298.379	319.586	253.734	124.465	135.017	249.314	345.842	128.332	283.755	1978.25	1493.47	2304.61	2104.21	1955.88	4000.7	1408.18	709.208	2119.06	715.137	2061.99	75319.6	-1302.36	1574.3	4327.84	1110.17	2919.09	502.376	1582.55	2084.45	569.752	6470.5	-3810.41	5652.16	-61.5828	-338.668	529.085	3373.07	-84.3313	-20094.2
64100	64.1	2.46613	2.47614	2.46501	55487.8	0.44099	716.179	676.145	402.54	574.166	486.607	490.145	391.18	632.048	548.616	521.09	561.346	728.298	648.537	373.958	636.636	472.885	465.435	372.108	671.371	513.461	534.037	545.484	579.689	527.813	426.38	646.147	521.922	518.275	397.15	609.511	460.346	524.988	534.62	303.979	338.556	235.784	132.329	135.726	284.025	354.451	140.793	278.211	2301.5	1540.68	2204.04	1897.16	1985.77	4141.49	1405.05	686.921	2102.05	729.587	2043.26	75573.6	-1152.3	1590.77	4388.87	1075.98	2803.34	527.333	1663.85	2084.29	544.041	6444.98	-3801.39	5638.12	-61.9632	-338.504	522.101	3369.29	-85.6044	-20087.6
64200	64.2	2.47611	2.47614	2.4761	55712.4	0.44199	654.177	747.492	434.817	548.759	456.228	464.042	396.981	620.971	492.694	560.08	566.543	763.132	669.157	380.192	472.491	457.593	470.722	456.803	639.803	462.814	484.933	496.414	622.396	519.204	406.773	612.043	465.374	519.813	364.347	617.749	549.485	530.057	512.689	299.3	312.32	235.098	128.909	132.355	242.593	340.776	133.261	273.565	2122.96	1556.39	2238.9	2027.86	1835.92	3985.5	1401.7	744.235	2152.7	834.443	2001.07	75948.7	-1185.98	1600.67	4346.51	1091.38	2842.49	515.953	1618.67	2102.35	558.501	6514.67	-3789.61	5661.58	-62.2086	-338.776	503.381	3303.54	-87.0072	-20105
64300	64.3	2.45929	2.47614	2.45742	55334.1	0.44299	728.163	680.462	411.324	668.351	485.21	472.612	451.38	577.904	547.376	492.596	512.331	747.923	670.721	465.36	548.732	516.332	458.803	414.587	647.277	578.063	478.132	482.438	542.004	557.269	437.116	606.947	501.665	474.659	401.341	647.715	534.279	521.232	551.139	335.31	343.067	248.551	132.121	135.918	263.001	360.052	137.437	265.925	1987.05	1501.25	2162.11	1882.45	1882.78	4020.53	1378.18	732.744	2108.87	798.638	2101.13	76336.4	-1219.3	1587.01	4345.08	1071.29	2901.51	535.248	1605.24	2105.87	551.539	6562.99	-3868.01	5755.96	-62.2957	-338.531	527.666	3419.32	-87.2021	-20055.4
